threshold,CDC42,HOG1,KSS1,STE11,FUS3,BNI1,BEM1,RHO1,PBS2,CDC24,CLA4,SHO1,STE7,PTP2,BEM2,RGA1,ACT1,RDI1,STE5,STE50,RSR1,PTP3,STE12,SSK1,SLT2,SSK2,SLN1,STE4,STE20,GPA1,SPA2,GIC2,GIC1,RHO3,BUD6,BOI2,BEM3,SPT15,TAF6,TAF10,TAF9,TAF5,TAF12,SKO1,YPD1,PTC5,PTC6,PTC7,FAR1
810,0.05410442405294519,0.054641331983781,0.04951214673954321,0.0525720117990134,0.04806382667095255,0.047989818659769395,0.04688713321608399,0.043798825602085714,0.04388790758270368,0.04370591083766969,0.04078400280303536,0.0388983293790789,0.038737380351065276,0.036513842787670524,0.03303307083469388,0.03453642727618055,0.03256458700658017,0.03392560177826479,0.03510490719639767,0.03407630780163322,0.032908084311216716,0.03212691564326316,0.03227463733712887,,,,,0.029977936799856077,0.029374631549387076,,,,,,,,,,,,,,,,,,,,
811,0.05424569291253149,0.05353892223657148,0.050070770626963405,0.0532271796310478,0.0487136849755588,0.048115122035093834,0.04700955743470658,0.04391318612347249,0.04493974393416697,0.043820028754814076,0.0408904914990376,0.03776463861741124,0.03908854399048902,0.03732694968188672,0.033119321530956446,0.034626603297474426,0.03309792954927633,0.034014182909251504,0.032112021107975716,0.03452127291942342,0.03299400866256488,0.03292857650308134,0.03005331432360318,,0.029779548761717428,,,0.030088707980923918,,,,,,,,,,,,,,,,,,,,,
812,0.05531577496585753,0.05297201970986785,0.04955301120998686,0.050890826321737276,0.048336094347145926,0.04906426888563489,0.047936895275644334,0.044779443145036645,0.04424943944590662,0.04468444810000275,0.04169712109035566,0.03680248450437712,0.038684165205619674,0.0354221325200791,0.03377265250869428,0.035309667791018906,0.03419492099591193,0.03468516644242214,0.03180300998536738,0.03388705082416589,0.033644867645858265,0.032725564154437226,,,0.029777364163596505,,,0.02977930680585736,0.030032303955417942,,,,,,,,,,,,,,,,,,,,
813,0.055475792940484644,0.05336272049973678,0.050079515500455585,0.05134545648101562,0.04857569065336813,0.04908102996513592,0.04799033936020498,0.04499111489319524,0.04446924597984206,0.044611165136708805,0.041643593449425,0.0369377872655243,0.039114932902500496,0.035764085951344234,0.0338538826660296,0.03314767254519968,0.03426274846133474,0.03258916076643474,0.032168559253237666,0.033593035844578296,0.033646635461434385,0.03296320963765477,0.030110264990187614,,0.030107669446979717,,,,0.030114689947987116,,,,,,,,,,,,,,,,,,,,
814,0.05337687478904918,0.05757691333980384,0.051344266595717926,0.050312758965152235,0.04968600462771388,0.049273638578259144,0.04681981985616672,0.04403597505433369,0.04618257143226183,0.044868578025391175,0.04198720237917383,0.03675484744515686,0.03789086316785006,0.037234657874986185,0.033927763022383824,0.03319833234373323,0.032384692867914684,0.03229056041339642,,0.03380010484406375,0.03135532743309496,0.034498436850637845,,,0.03263204271489826,,0.02968442985603301,,0.030245565056362396,0.028637772466465046,,,,,,,,,,,,,,,,,,,
815,0.05483997414289921,0.05783168430151629,0.05179555045638727,0.05047156427948583,0.05011016970655529,0.047854573712598485,0.04813602644390451,0.04408908706167191,0.045935666612542135,0.04611175691339514,0.043054332496828746,0.03662017700540913,0.038256044312017026,0.037129115801386905,0.03138024713946076,0.031062323636636094,0.03214793513228415,0.03323747335098972,,0.033940510302099096,0.03226567395465065,0.03288549373973862,,,0.03298278601286281,,0.029428954293214318,,,,0.02924944980879861,0.029183429382667162,,,,,,,,,,,,,,,,,
816,0.05685621620389714,0.05495071376987968,0.04923719082477585,0.04800308260785647,0.047618632837978285,0.05019611615425692,0.05048216933024924,0.04552712919119082,0.042884940409232256,0.04834761213350666,0.0451391070078652,0.0348086877302063,0.036265008873577066,0.035265585456582614,0.03289793983498815,0.032524139935966034,0.03393271641509376,0.03486154435357353,,0.032265435115202745,0.03383632220417807,0.03121353644251959,,,0.031271725686841875,,,,0.030296531105572472,,0.030673758845213086,0.03064415752979616,,,,,,,,,,,,,,,,,
817,0.0569872177135488,0.05565799248096327,0.04977439204210055,0.04866970705695413,0.04812715890429432,0.050284382999934644,0.050560981109155106,0.043756091739385355,0.04347396333676455,0.048390491886044947,0.04516255503563262,0.03541915945390006,0.03476683907981072,0.03571961750307396,0.0329924686642291,0.03266130124436796,0.03269803786161702,0.03475922367592833,,0.03266918785803521,0.0341241520957478,0.029309670985570743,,,0.031912997734529866,,,,0.030417559809695915,,0.030803042395981126,0.030901807332733778,,,,,,,,,,,,,,,,,
818,0.05697172601093077,0.055768111854886476,0.049905084668329,0.046676548702572075,0.04824143368258202,0.05114583319733559,0.051119693216176286,0.044435822526310426,0.04342375349533157,0.04783681389036661,0.045731967936333405,0.03531781084721074,0.03498073916400641,0.032704666791826535,0.03357084282946776,0.03299039721907065,0.03257680579411186,0.0352946572122917,,0.03277714391610772,0.033578329610366775,0.029308729229059634,,,0.03199728328511966,,,,0.030700463598393044,,0.0314866781905897,0.03145866313122355,,,,,,,,,,,,,,,,,
819,0.0560960388742924,0.05586315488576088,0.05003005680394615,0.046848739049645156,0.04835316336703297,0.05081257866591584,0.051061591027962074,0.04593909701188618,0.04352196005498524,0.047851084854075375,0.04558915766527591,0.03541320932078498,0.03505658193303356,0.03276883089221234,0.033779464403602445,0.03307196536285828,0.03280629271112221,0.03543236850610997,,0.03290630206201569,0.03353644415195549,0.029359087586412373,,,0.031435696966926864,,,,0.030748715070479462,,0.030385891408190927,0.031332527363517076,,,,,,,,,,,,,,,,,
