threshold,MAE1,PYC1,IDH1,IDH2,KGD1,RIP1,CYT1,QCR2,MRPS9,MRPS5,MRPS28,PCK1,FDH1,ERT1,GDH2,MRPS16,MLS1,ACS1,DAL7,ACS2,LAT1,RPS8B,RPS8A,RPS13,CIT1,RPS20,RSM10,RPS3,RPS5,RPL5,SDH2,SDH1,SDH3,SDH4,GDH1,PDA1,PDB1,KGD2,PDX1,IRC15,HSP82,HSC82,AHA1,PGI1,TAL1,TKL1,SOL4,PGM2,GAD1,AIM22,NQM1,NOP7,YTM1,PWP2,LPD1,TKL2,MRP17,AAT1,AAT2,GDH3,TPI1,RPF2,ASC1,MDH1,MDH3,HSP104,BTN2,SIS1,TFS1,HSP78,DCS2,CIT3,ATP2,ATP16,ATP18,ATP4,QCR8,ACO1,ATP6,ATP15,TOM40,TOM22,TOM70,RPN10,RPT5,RPT2,GPM1,RPS15,TIM8,RPT1
830,,,,,,0.051496998817394765,0.05301778488224823,0.05120082999722717,0.020638603137306397,,,,,,,0.02047186912108781,0.15695269020229077,0.1626001903250564,0.14608563543989392,0.14501129182111797,0.14501129182111797,0.009000981810226915,0.009003679568324449,0.008976704459448372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020531448597258917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
831,,,0.1029707738411452,0.1029707738411452,,,,,,,,,,,,,0.10962528809370757,0.11356984506287761,0.10203507726315457,0.10128469045189221,0.10128469045189221,0.006053480575247562,0.006055812801955092,0.006036617945187036,,,,,,,,,,,,,,,,,,,,0.04770154045847197,0.04642348540060253,,,,,,0.04650195778656368,,,,,,,0.10748596602615752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832,,,,,,,,,,,,,,,,,,,,,,0.00581572723152021,0.00581797025982148,0.005799521453198352,,,,,,,,,,,,0.20499193492290893,0.18065271946893377,0.15835191569513615,0.15835191569513615,,,,,0.04363177565587336,0.042463006243126294,,,,,0.1414487486111598,0.04254873212867195,0.003419432610976833,0.003371035803525636,0.0033355642200110316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,,,,,,,,,,,,,,,,,,,,,,0.005741723336705031,0.005744203383450293,0.0057257163585637825,,,,,,,,,,,,0.20397897153906625,0.17976002781215003,0.15756942299648025,0.15756942299648025,,,,,0.04563822481579122,,,,,,,0.043862783973973106,0.0034012617745598486,0.0033501978339624556,0.003314454936257284,0.14074978256116688,0.04359380568139315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
834,,,,,,,,,,,,,,,0.1484381621766329,,,,,,,0.0083713648793255,0.008373842935385185,0.008348199684327363,,,,,,,,,,,0.1484381621766329,,,,,,,,,0.06845903695947547,0.06668547812530391,,,,,,0.06693864681200073,0.006543240141031835,0.006454910361859382,0.006366875107037126,,,,0.15716704026032638,0.1509768782040284,0.1484381621766329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835,,,,,,,,,,,,,,,0.1404355155998028,,,,,,,0.010729948828058966,0.010732890032505694,0.010699652216713124,,,,,,,,,,,0.1404355155998028,,,,,,,,,0.0815245888727765,0.07932723191057763,,,,,,0.07950063113890898,0.006600049727343046,0.006510772089006331,0.006421681871917506,,,,0.14332300325639186,0.14332300325639186,0.14043551559980277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836,,,,,,,,,,,,,,,0.1430590684896609,,,,,,,0.00988500581114476,0.009887517245844033,0.00985631043473986,,,,,,,,,,,0.1430590684896609,,,,,,,,,0.0787563404871396,,,,,,,0.07576289666780864,0.0059624083247975255,0.0058814314673232065,0.005799705467251762,,0.07531338932737187,,0.14685889464879798,0.146858894648798,0.1430590684896609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837,,,,,,,,,,,,,,,0.14419897246203736,,,,,,,0.0099471342490668,0.009949867151803043,0.0099181502362654,,,,,,,,,,,0.14419897246203736,,,,,,,,,0.07589325868879455,,0.07341387489341918,,,,,0.07340624026983372,0.006158180423782526,0.006087292612248775,0.006002984671236539,,,,0.1483130497087186,0.14831304970871861,0.14419897246203736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
838,,,,,,,,,,,,,,,0.1438827768351944,,,,,,,0.009927316636280641,0.009930489349509415,0.00989837570121355,,,,,,,,,,,0.14388277683519443,,,,,,,,,0.0774261361539798,,,,,,,0.07382708448987685,0.005988148542546226,0.005914288263167481,0.00583188999360327,,,,0.14798783284398692,0.14798783284398692,0.14388277683519443,0.07363227467626572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
839,,,,,,,,,,,,,,,,,,,,,,0.00632960203403025,0.0063316256313413,0.006311041308069066,,,,,,,,,,,,0.21025136821528143,0.1877414449739643,0.1476109749746202,0.1476109749746202,,,,,0.04956300990061045,,,,,,0.1322707768671936,0.04725913885497295,0.0038995691223356593,0.003871538353474623,,,,,,,,0.04713443470208142,0.003814500087404486,,,,,,,,,,,,,,,,,,,,,,,,,,,,
