threshold,SHM1,SHM2,MIS1,GCV1,ADE3,MET12,DFR1,CDC21,MTD1,MET13,MET7,YND1,GUA1,GCV3,ADE12,ADE8,RMA1,ADE13,HPT1,GCV2,AMD1,HAM1,APT2,APT1,FAU1,ADE17,FMT1,FOL3,"ADE5,7",IMD3,IMD4,IMD2,URA8,URA7,IMD1,ADE16,ADE4,PDE1,ADO1,PDA1,PDB1,PDX1,KGD2,AIM22,IRC15,MAE1,PYC1,PYC2,PTC6,PTC5,PKP1,PGI1,NQM1,TAL1,TKL2,TKL1,ZWF1,TPI1,PGK1,GPM1,FBA1,ENO2,ENO1,CDC19,PKP2,PYK2,LSC1,YMR31,KGD1,HSP104,HSP78,SIS1,BTN2,CUR1,HSP26,YJL144W,MDH1,HSP82,HSC82,AHA1,STI1,SBA1,CPR6,FES1,MBF1,CIT3,IDH1,IDH2,ACO1,CIT1,FUM1,ICL2,CYT1,NCE103,SIP5,TDH3,TDH1,MDH3,IDP3,ATP18,ATP15,ATP6,ATP2,ATP16,ATP4,MDH2,CIT2,IDP1,TOM40,TOM22,TOM70,ADE1,SGS1,MCM4,MCM5,MCM3,MCM7,RAD51,RAD52
810,0.06367742940899272,0.060932886672761845,0.05388928069902284,0.05139808409093396,0.052195879953358344,0.0494578941835624,0.049399044569401473,0.04823288714869187,0.04985488996941483,0.04684252849643304,0.03980187730354085,0.027982610014559747,,0.03768949876346869,,0.039812251319545064,0.03643992964658778,0.028917686259844814,0.02491514596783819,0.0342953666851107,0.02808183985473302,,0.03054249345994238,0.030223986264918203,0.0318365333180947,,0.028709584110967145,0.03009971979163703,0.024770672046638232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,0.05712962603918514,0.05466729830980465,0.048347970111699785,0.04611293751174836,0.04682869786355486,0.044372252862856336,0.044319454618945306,0.04327321047928235,0.04472842648662513,0.04202581920420875,0.03570914195364327,,0.0443365518425871,0.03381397443247321,,0.03571844923348081,0.03269289562919728,,,0.03076885313653077,,,,,0.028562855940129243,0.033513606370653606,,,,0.04353743662372674,0.039553381903510765,0.03907714443657954,0.03904377697361501,0.03390272635676575,0.03028289486518549,0.027680616814010923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812,0.05633933779178445,0.053911072050914846,0.04767916068279245,0.04547504584160752,0.046180904903431824,0.0437584405140033,0.04370637264125937,0.042674601455557654,0.04410968709993878,0.041444465652521,0.03521516856072501,,0.04667002443237932,0.033346217360624666,,0.035224347090658505,0.03224064671772127,0.03278784615841947,,0.030343219980747113,,,,,,0.03661544782354781,,,,0.04536380250114926,0.03732880318421296,0.03736689957067754,0.03674834546412147,0.03214647901700421,0.0324557999295613,0.030867863574638964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,0.0559391180656084,0.05352810208108995,0.047340460559917495,0.04515200316649064,0.04585284799258704,0.04344759214824635,0.0433958941518728,0.04237145239526277,0.04379634357151301,0.04115005515099425,0.03496500933502194,,0.0471734543279796,0.03310933466898922,,0.03497412266311103,0.03201161770696519,0.03314152889523499,,,,,,,,0.037010418927577865,,,,0.04585314217120396,0.03773146925774674,0.03776997659021132,0.0371447501359744,0.03249324332176467,0.03280590088127255,0.031200835445251547,0.030641326388112206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
814,0.06319137553731557,0.060226649948848084,0.05349444192732476,0.050622172395042304,0.05170521256681727,0.04901157703455295,0.05049564246972394,0.049250088287913794,0.04898397653746373,0.04631522451824547,0.04114339034981037,0.03001933310264339,,0.03704613950210901,0.025604338768772886,0.03928540371744057,0.0378434562549037,0.027945442909061653,0.026909119534933773,0.03372545338829754,0.029557681621889455,,0.028229342537568616,0.027980542075085917,0.03150296337980132,,0.028309620215497613,0.03160141141893637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815,0.06319590338468839,0.06023096536493809,0.05349827496096711,0.050625799622149414,0.05170891739692882,0.049015088857779235,0.05049926063059084,0.04925361720117085,0.04898748638303346,0.046318543139906604,0.041146338394386375,0.030140080459810627,,0.03704879396664616,0.02565197647791641,0.039288218631825626,0.03784616784952439,0.027010086771060596,0.02698908653595616,0.03372786991593636,0.029680659808724204,,0.028484923392568157,0.02823139575843255,0.03150522065951335,,0.028311648682807087,0.0316036757527391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,0.06401626534470613,0.06137917889634646,0.05257590821903925,0.05167535793324514,0.05257590821903925,0.04988608854403263,0.05069451703027926,0.04870285633818573,0.05002606261708544,0.04718377936332323,0.041046788092779285,0.028864211664038752,,0.03797884496871822,,0.03996340132283238,0.03766125404133297,0.025866714677935686,0.025846603410088966,0.03458523420417859,0.028424238886478614,,0.027279119547585377,0.02703632406785429,0.03175493238114725,,0.02882311173715544,0.03137631472494301,0.0247769837676486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,0.06319293232014804,0.06058976225772342,0.051899713172361965,0.05101074514283628,0.051899713172361965,0.04924448810165806,0.05004251913864496,0.04807647381184469,0.049382661924785264,0.04657693415665423,0.04051887263243735,0.03147503850630228,,0.03749038727552193,0.026193296715047602,0.039449419635434926,0.037176880983461905,0.02941116772539126,0.02732169025372349,0.034140422790562897,0.03085452272513719,,,0.028822332914539433,0.03134652235626957,,0.028452408766028586,0.030972774219059526,0.024458319302063197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,0.06198972407303105,0.06077338878910889,0.051964137793189695,0.051431764428757465,0.051964137793189695,0.04967927275619949,0.05048150213864618,0.04846489793970146,0.04942146132527614,0.04697648265235659,0.04086903967864156,0.031431206325113197,,0.03781527187957938,0.02615681989461977,0.0393445618996692,0.037481623016810926,0.029370209693442742,0.027283642030927716,0.03442624868996505,0.03081155467506411,,,0.028782194894744813,0.03149978582755841,,0.028594313140187892,0.031264003838869535,,,,,,,,,,0.021722754825348942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,0.061431365386731634,0.060225985973018405,0.051496082350989264,0.05096850422152266,0.051496082350989264,0.049231797728890456,0.05002680120816056,0.048028361124125944,0.04897630847723205,0.04655335240725607,0.040500920871105024,0.03257354811303199,,0.037474659207971724,0.027364829281492885,0.03899017448750001,0.03714401561330999,0.03041076242731155,0.028267965808607385,0.03411616189283559,0.031911244297803495,,,0.0298010318420236,0.031216058495385304,,0.02833675620862648,0.030982400260648014,,,,,,,,,,,0.02247482996343057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
