threshold,PTC6,PKP1,UTH1,CDC42,HOG1,KSS1,STE11,BNI1,BEM1,ACT1,ARP4,YAF9,RHO1,PDA1,PDB1,PDX1,IRC15,MAE1,PGI1,TAL1,TKL1,RPS8B,RPS8A,RPS20,YTM1,NOP7,RPF2,RPS13,AIM22,MLS1,ACS1,ACS2,RPS3,RPS5,RPL5,PWP2,NOP14,FUS3,KGD2,LPD1,NQM1,TKL2,TPI1,ASC1,KGD1,HSP104,BTN2,HSP78,SOL4,PGM2,TFS1,SIS1,MDH1,HSP82,HSC82,AHA1,PBS2,RPO21,RPO26,RPB3,SPT15,TAF6,TAF10,PTC7,PTC1,SWC4,IDH1,ACO1,ATP6,ATP4,ATP18,CYT1,QCR2,RIP1,TOM40,TOM22,TOM70,RPN10,RPT5,RPT2,GPM1,RPS15,IDH2,TIM8,RPT1,PYC2,CLA4,STE7
832,,,,,,,,,,,,,,0.20431413965777076,0.180055400564966,0.15782833324920187,,,0.04441109242645187,0.04322144736538199,,0.005919603218607707,0.0059218863101322995,,0.0034312466176952966,0.003480507851201179,,0.005903107985304094,,,,,,,,0.0033951414684021655,,,0.15782833324920187,0.14098105561580163,0.04330870441988132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,,,,,,,,,,,,,,0.20328658333844926,0.1791498486291656,0.15703456781784292,,,0.0464492795645497,,,0.005843761748520748,0.005846285869147018,,0.003409735510405459,0.0034617069282695295,,0.005827470304108361,,,,,,,,0.0033733574116810725,,,0.15703456781784292,0.1402720201332585,0.044642286668905906,0.044368528257853104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
834,,,,,,,,,,,,,,0.19913739663598676,0.17393722682368504,0.1644441447025622,,,0.04242305811077694,0.04132400979186063,,0.005499054301367176,0.005500682108186073,,0.0032476684888416937,0.0032921099797940307,,0.005483837348452947,,,,,,,,0.0032033751823563293,,,0.16444414470256216,0.14658239712089663,0.04148089470267127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835,,,,,,,,,,,,,,0.19897363125152986,0.17379418539950586,0.16430891014072785,,,0.04245330721557719,0.04130905035432403,,0.005599153589588816,0.0056006883830626245,,0.0034025077472835566,0.003449163942884807,,0.005583344065900701,0.14646185159291128,,,,,,,0.003355949497400451,,,0.16430891014072785,,0.041399346678575144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836,,,,,,,,,,,,,,0.19856327216198333,0.17343575587675736,0.16397004285290867,,,0.04379676033119327,,,0.005459195880127732,0.005460582871114428,,0.0032424693847338815,0.0032871124249004183,,0.005443348273799394,0.14615979170841836,,,,,,,0.003197413337640466,,,0.16397004285290867,,0.04213209256337666,0.041882119480137286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837,,,,,,,,,,,,,,0.19835634164549942,0.17348127413546546,0.16401451654035132,,,0.04317353292176304,,0.04176308145657738,0.005639587183490707,0.005641136619022502,,0.0034484281730041487,0.003488585849328712,,0.005623154524291778,0.14619643803192273,,,,,,,0.0034006680442386023,,,0.16401451654035132,,0.041758738334692694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
838,,,,,,,,,,,,,,0.1982894252868451,0.1734227494870294,0.16395918554300437,,,0.04390309881953934,,,0.00559866655671806,0.00560045585830869,,0.003309456160197589,0.0033507861302137934,,0.005582344860612578,0.1461471180394275,,,,,,,0.0032633485900784307,,,0.16395918554300437,,0.0418623212641219,,0.04175185786089875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
839,,,,,,,,,,,,,,0.2090515272973397,0.18667006137448822,0.14676860382043838,,,0.05090090037901933,,,0.006500461598661772,0.006502539820411088,,0.00397604561222052,0.004004833036071576,0.003917467670629601,0.0064813998494861885,0.1315159475803245,,,,,,,,,,0.14676860382043838,,0.04853483926176144,,0.048406768878709434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,,,,,,,,,,,,,,0.19826993362956097,0.17340570219974527,0.16394306851483428,,,0.04365387920053842,,,0.005702224228831603,0.005704313953002761,,0.0035039156941210946,0.0035288916506794046,0.0034516789728741516,0.0056854951687856665,0.1461327519201362,,,,,,,,,,0.16394306851483428,,0.041642184102619544,,0.0414328922494363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,,,,,,,,,,,,,,0.1925340556798563,0.17347097983694995,0.16299182457437317,,,0.04536470662645122,,,0.005622350555417685,0.005613330526492599,,0.003594915877259167,0.0036206255552847246,0.003549012689986617,,,,,,,,,,,,0.16299182457437317,0.14871312102001558,0.04327417172760004,,0.043056677573750646,0.005602403182189208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842,,,,,,,,,,,,,,0.19273804899767588,0.17365477548077726,0.1631645173634748,,,0.04492800846521144,,0.04272444440950954,,,,0.004075551813799919,0.0040914741125854396,0.0039971582037258225,,,,,,0.005226198784043326,0.005202518566404643,0.005196287354239207,,,,0.1631645173634748,0.14887068526418562,0.04296581382089224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
843,,,,,,,,,,,,,,0.192791690444465,0.17370310581019102,0.16320992812082935,,,0.04473733560774992,,,,,,0.0039759571804708176,0.004007132466278251,0.003914281038836011,,,,,,0.005196348574915261,0.005173001582275806,0.005166046829173685,,,,0.16320992812082935,0.14891211786653677,0.043135747361836646,0.04286737899561212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844,,,,,,,,,,,,,,0.1913283068575647,0.17367138665189225,0.15395982014718457,,,0.048848606871798865,,,0.0060074715534554875,0.005998989357633354,,0.0045503630616410915,0.0045814400892414085,0.004469719130275743,,,,,,,,,,,,0.1598994605506872,0.14675022788725184,0.04712086776022811,0.04682641312526366,,0.0059869269558816985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,,,,,,,,,,,,,,0.1912776756189164,0.17362542796669622,0.15391907773680027,,,0.04827737561509542,,,0.006115955601419226,0.006115955601419226,,0.00462686397077842,0.004652774804309445,0.004545033639274521,,,,,,,,,,,,0.15985714633236875,0.14671139335235275,0.04724445199660991,0.046927232826158634,,0.006103634937800744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,,,,,,,,,,,,,,0.1962258669323275,0.17928434350930195,0.1462897784045512,,,0.05172034188536776,,,0.006570176325344617,0.006570176325344617,,0.005017816145648563,0.005046865392584873,0.004920506971253803,,,,,,,,,,,,0.15159541686088798,0.13931384392143165,0.05061375392343146,0.0502739118392399,,0.006557201563284177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
847,,,,,,,,,,,,,,0.19635615574303902,0.17940338359438449,0.14638691096686599,,,0.0515423327574325,,,0.0065579017441073,0.0065579017441073,,0.005016885690244149,0.005059457415746283,0.0049318514037637266,,,,,,,,,,,,0.1516960722274862,0.13940634464686572,0.05043955340833417,0.050100880979849376,,0.0065443676777739036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
848,,,,,,,,,,,,,,0.19660538581115045,0.17408377700569017,0.15320501066814565,,,0.04738326250327854,,,0.006144885834613485,0.006144885834613485,,0.004419262311470913,0.004456813746918513,0.004348466151771577,,,,,,,,,,,,0.1603644891514019,0.14428371229338993,0.04636946897500664,0.046058124809482744,,0.006132454903065954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,,,,,,,,,,,,,,0.20280822504801907,0.1815457056718736,0.14372062622061024,,,0.051585188313343265,,,0.00665476840860035,0.006654768408600353,,0.004889567327382135,0.004941906152887614,0.004821310308996846,,,,,,,,,,,,0.14991262777821932,0.13518754751636244,0.05048802496682727,0.050148441726272176,,0.0066412921520052565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,,,,,,,,,,,,,,0.20321150837860624,0.18190670856916644,0.14400641410126744,,,0.050640744412617594,,,0.006738190641645148,0.006738190641645148,,0.00451312407399196,0.0045617441447597116,0.004450065391396068,,,,,,,,,,,,0.1502107284287879,0.13545636740472447,0.05059603699935388,0.050245631299543896,,0.006724545512494112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,,,,,,,,,,,,,,0.20332942962673572,0.1820122668925545,0.1440899793295607,,,0.0504904349105685,,,0.006710923920092974,0.006710923920092974,,0.004542291924987509,0.004616052923413091,0.004502182261348849,,,,,,,,,,,,0.15029789394771,0.13553497114148574,0.05039539507363112,0.05006964147161692,,0.006697612656201395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
