threshold,IDH2,IDH1,GDH2,IDP1,GDH3,RIP1,CYT1,QCR2,MRPS9,MRPS5,MRPS28,RPS8A,RPS8B,RPS13,GDH1,MRPS16,RPS20,MRP17,RSM10,RPS3,RPS5,RPL5,NOP7,YTM1,PWP2,SDH2,SDH1,SDH3,AAT2,AAT1,SDH4,YJL045W,PGI1,NQM1,TAL1,TKL2,TKL1,TPI1,RPF2,ASC1,MDH1,MDH3,QCR9,LSC1,ATP7,ATP15,ATP2,PDA1,PDB1,KGD2,LPD1,PDX1,CIT3,YND1,AMD1,APT1,RPO21,RPO26,RPB3,ATP3,ATP16,HSP82,HSC82,AHA1,SOL4,TFS1,PGM2,ACS1,LYS20,MLS1,ACO1,FUM1,CIT1,TOM40,TOM22,TOM70,CDC48,NPL4,UFD1,RPN10,RPT1,RPT2,ACS2,LAT1,ATP18,QCR8,ATP6,CIT2,ATP4,RPT5,TIM8,RPS15
810,0.1662815524034633,0.1662815524034633,0.16124352661880756,,0.15511313953383601,0.05185273837293367,0.052128976733253465,0.051419575027507484,,,,,,,0.15511313953383601,,,,,0.007873630047597871,0.007870123579883499,0.007833430448005326,0.005700449211219796,0.005675316898407719,0.005612849187785053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,0.16048990065428967,0.16728473606749913,0.1622820173249526,,0.1560619112572996,0.05235601861905886,0.05263983520101476,0.05192424087868425,,,,,,,0.1560619112572996,,,,,0.00788582508499572,0.007873773678422992,0.007849662045812425,0.005792211111259613,0.005781014846465686,0.00571694197294513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812,,0.10453705508771102,0.10475637886139952,,0.10074668095034536,0.03363518288864759,0.03396536727639103,0.03351551917646087,,,,,,,,,,,,0.004812957568941649,0.004791173020862874,0.00479061228773522,,,,0.1287974696762866,0.12359701209166446,0.1194465354397901,0.10130402783688186,0.10130402783688186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,,0.10428159783295415,0.10453332826417096,,,0.03368758989791967,0.03402045190996152,0.03356802845892179,,,,,,,0.10084688030538748,,,,,0.004752519476760321,0.004726033462446326,0.004730463899428853,,,,0.12886881643330897,0.12366547807948668,0.11951270229044794,0.10140305484440268,0.10140305484440265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
814,,0.10718125257131812,0.10743998262042373,,,0.032495680051071854,0.03283706904148643,0.032782661793101596,,,,,,,0.10365102926746188,,,,,0.00470920373495144,0.004688765930457329,0.0046775169688117605,,,,0.12427800839815176,0.12092473520935264,,0.10422266879906374,0.10422266879906371,0.11588875681528399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815,,0.10877394222023014,0.11448517019318845,,0.11069835706219637,0.03244086871746517,0.032800296892885286,0.0327460060108924,,,,,,,0.11069835706219637,,,,,0.004770076951737449,0.004749085943033103,0.004736081570460677,,,,0.11524345628481465,0.11283630730876794,,0.1059702977532336,,0.10905169602889844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,,,0.11545338974180619,,0.11160328687178549,0.032331917104450304,0.03269013815191661,0.032636029604102765,,,,,,,0.11160328687178549,,,,,0.004705524049984101,0.004687920740354332,0.00467594998398432,,,,0.11486796226782169,0.11246865642723487,,0.10678978088059322,0.10678978088059322,0.1086963764235875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,,,0.1141189022357885,,0.11030353100482856,0.03219309580422456,0.0331801815489056,0.033128478466645676,,,,,,,0.11030353100482856,,,,,0.004969807575736757,0.0049492465420991096,0.004937597178686804,,,,0.11719065191541199,0.1147428308689548,,0.10454393622130964,0.10454393622130964,0.11089427341126977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,,,0.10692169453963,,0.1031116876675077,0.031907531465165485,0.032881099403924946,0.032834616003245005,,,,,,,0.1031116876675077,,,,,0.004803730870853659,0.004785590582141776,0.004772700199866316,,,,0.12739162574527876,0.12414960204781614,0.11784649054094702,0.1027409716330577,0.10274097163305768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,,,0.11268994878169614,,0.10896330257828626,0.032050491002740385,0.03302842094682999,0.03298172928041588,,,,,,,0.10896330257828626,,,,,0.004850946617132715,0.004832941498674784,0.004819914130311697,,,,0.11800512596189823,0.11569740703975628,0.11113164618599941,0.10599241169898596,0.10599241169898596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
