threshold,PDA1,PDB1,KGD2,PDX1,LPD1,IRC15,PYC1,PYC2,MAE1,PTC6,PKP1,PTC5,PGI1,NQM1,TAL1,TKL2,TKL1,ZWF1,TPI1,PGK1,GPM1,FBA1,ENO1,ENO2,CDC19,PKP2,PYK2,LSC1,YMR31,KGD1,HSP104,SIS1,BTN2,HSP78,CUR1,YJL144W,HSP26,MDH1,HSP82,HSC82,AHA1,STI1,SBA1,CPR6,FES1,MBF1
834,0.11594796562781207,0.10127513936528496,0.09574778198251277,0.09574778198251277,0.08534776003968622,0.07060433606384768,,,0.037524381392547934,0.025774229403903292,0.025005038795889417,0.028801644688071254,0.02286981428064186,0.022361904122229208,0.02227732915442973,0.022232176270972712,0.022157680153236808,0.02159522177955422,0.0216948612162735,0.021402919285747037,0.020635020552555026,0.021020556060031205,0.020234686440487506,0.02083745162157057,0.01966750390229652,0.02002957235905394,0.019207243458851813,,,,,,,,,,,,,,,,,,,
835,0.11561912029342307,0.10098790830530435,0.09547622731389432,0.09547622731389432,0.0851057013495002,0.07040409187347736,,,0.03741795677629909,0.025701129931730127,0.024934120860419646,0.028719959024790156,0.022839995886255366,0.02227296222249009,0.0222243825520308,0.02214601062799996,0.022106915461550563,0.021548423087751564,0.02207698892639113,0.021782098573966655,0.02102906403098414,0.021410573757486975,0.02024065227825261,0.021230847145293257,0.020074306927826507,0.019972765571764334,0.0192015699072234,,,,,,,,,,,,,,,,,,,
836,0.11512208461001945,0.1005537708210142,0.09506578402586957,0.09506578402586957,0.08473983997359247,0.07010143132883787,,,0.037257100512467674,0.025590643200405383,0.024826931428684865,0.028596494632179455,0.02350996967075051,0.02261638100260945,0.021736314792202595,0.022482196200788028,0.02236729323337222,0.02180472918774147,0.021928286687105045,0.021627901828430485,0.021218221350640075,0.021618121181350827,0.020806457746657472,0.021431885392020015,0.020263277191778846,0.019886904538050976,0.01978219543756143,,,,,,,,,,,,,,,,,,,
837,0.11520719343839077,0.10075952470923454,0.09526114454933096,0.09526114454933096,0.08491224014631643,0.07023975748950168,,,0.0373183004934232,0.02483037777301332,0.02483037777301332,0.028488873438022654,0.023197733444153035,0.02243754484044151,0.02184518167697147,0.022307576738994195,0.022439878459605347,0.021046797693875043,0.022425719419084153,0.02213391291587649,0.021351236832709976,0.021742643987454513,0.020543682571405587,0.02156123761311253,0.020425866355164524,0.0199074650473115,0.01952458804426228,,,,,,,,,,,,,,,,,,,
838,0.11518261612324754,0.10073802953589898,0.09524082235328907,0.09524082235328907,0.08489412569683362,0.07022477314170289,,,0.03731033932707183,0.0248250806730542,0.0248250806730542,0.028482795865957363,0.02359266589596811,0.02249599198620923,0.020805597637724087,0.02236185763742107,0.022408649869669624,0.021046786628448555,0.022436631115654568,0.021184719822022968,0.021771979632306183,0.02212579414437143,0.020940528491783555,0.02136010130663667,0.02076625441570207,0.01990321815935626,0.01983473751332679,,,,,,,,,,,,,,,,,,,
839,0.1085734173244118,0.09694933463346092,0.07622603421620877,0.07622603421620879,0.06830438431164598,0.05735973475964268,0.051839281223829754,0.0491070567751831,0.0491070567751831,0.02127745578504407,0.02127745578504407,0.02421599096554325,0.02494504652188372,0.023785508985138183,0.02199821772058901,0.023643685776796347,0.02369316023701419,0.022253232165362555,0.02372274542615359,0.02239907197616636,0.023019994738881833,0.02339409063387322,0.02214088309153914,0.022584506691855428,0.021956619263340152,,,,,,,,,,,,,,,,,,,,,
840,0.11517638513752344,0.10073257995292335,0.09523567015042712,0.09523567015042712,0.08488953321488553,0.07022097422157368,,,0.0373083209652779,0.024823737721066476,0.024823737721066476,0.028481255044083397,0.02345977719140751,0.02237868383524957,0.020625794473825808,0.02223995865142949,0.022260260646110468,0.02148833969272972,0.02226620951833719,0.021045653296576886,0.0221836716528208,0.021973899517177983,0.021349513726725885,0.021785939849960034,0.020540517517243714,0.019902141463302728,0.01957177468784785,,,,,,,,,,,,,,,,,,,
841,0.10523403683930357,0.09481466236324444,0.08908703247951909,0.08908703247951909,0.08128266971080829,0.05837250234724035,,,0.04283957283959243,0.019685674980881737,0.019685674980881737,0.022317677790420758,0.02321948686113933,0.0221494667678467,0.020414531641884903,0.02201216249778742,0.02203225654620501,0.021268242110406035,0.022038144486204603,0.02083008999688808,0.021956452027309198,0.021748828514619768,0.02113083809043984,0.021562794052835114,0.02033012814747998,,0.01937130781361855,0.07752873363392411,,,,,,,,,,,,,,,,,,
842,0.10558649643947222,0.09513222442767143,0.08938541103450973,0.08938541103450973,0.08155490916989755,0.058568008948109124,,,0.042983055111754,0.019751608070034312,0.019751608070034312,0.022392426227589576,0.02304856697557744,0.02204193934564968,0.020311290472036347,0.021904590607579853,0.02191811415877504,0.021159728203929595,0.02187110555123419,0.020665320757448553,0.021834862463319848,0.021117872098624455,0.020966211417913713,0.021396228182025342,0.020219621563311727,,0.0192649896069911,0.0777884000620012,,,,,,,,,,,,,,,,,,
843,0.10569203821443307,0.0952273163585589,0.08947475858608413,0.08947475858608414,0.08163642953624001,0.058626552150400614,,,0.04302601996126328,0.019771351312251252,0.019771351312251252,0.022414809169437583,0.022967298621455138,0.02214507362721272,0.020244470072949675,0.022007298403813803,0.021843811440071907,0.021088852030980612,0.021791932634185694,0.02057684756060638,0.021755776675959813,0.0210425251057775,0.020890848973308257,0.02131858198552262,0.02014735986901073,,0.019197782297588884,0.07786615551455203,,,,,,,,,,,,,,,,,,
