threshold,ACS1,SDH2,MLS1,ACS2,SDH1,DAL7,SDH3,YJL045W,SDH4,CIT1,LSC1,SHH4,FUM1,SHH3,ACH1,ACC1,HFA1,LSC2,CIT3,CIT2,LYS20,LYS21,LEU9,SDH5,ICL1,PCK1,ACO2,CYT1,QCR2,RIP1,QCR9,COR1,QCR8,QCR6,QCR7,PYC1,PYC2,AAT1,IDH2,IDH1,AAT2,KGD1,GDH1,GDH2,GDH3,IDP1,MDH3,MDH1,MDH2,IDP3,PGI1,PGM2,SOL4,TKL1,NQM1,TPI1,TKL2,FBA1,GPM1,TFS1,GAD1,JEN1,DCS2,ENO2,ZWF1,PGK1,TAL1,ENO1,CDC19,HSP104,SIS1,HSP78,BTN2,YJL144W,HSP26,CUR1,HSP82,HSC82,AHA1,STI1,SBA1,CPR6,FES1
834,0.05403829809792671,,0.05195761456673507,0.0476783727642797,,0.047838590029010655,,,,0.043879505241560125,0.04364755604767137,,,,0.04262643623146849,0.04278188175233648,0.04278188175233648,0.03963458139482308,0.03953573100614681,0.03937821009246204,0.03905266346906076,0.03905266346906076,0.034998821017101715,,,,,,,,,,,,,,,0.037832224954931416,0.03370518071528964,0.03370518071528964,0.03634216951434129,0.033576955412135165,0.0357310663486519,0.0357310663486519,0.0357310663486519,,0.03438114135503847,0.03438114135503847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835,0.05828761411678979,,0.05485986058138031,0.05086009940827608,,0.05069801381106701,,,,,0.04583256243709732,,,,0.04816070087303974,0.04537099040746848,0.04537099040746848,0.04423656133601382,0.03017002168825844,0.0387309389968902,0.0473355189458338,0.0473355189458338,0.04267428303172049,,0.031313892843554875,,,,,,,,,,,,,0.03363204579478819,0.029967191282757173,0.029967191282757173,0.03363204579478819,0.029945584697237928,0.032954470563374964,0.03295447056337497,0.032954470563374964,,0.03137748081342688,0.03137748081342688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836,0.055502871659527726,,0.05269149931421925,0.049255729438076684,,0.049457494310888764,,,,0.045299844588181155,0.04506659250926992,,,,0.044030487501252255,0.044192289695825844,0.044192289695825844,0.04095470294929148,0.04079787930512386,0.04038567369811663,0.04035411160633794,0.04035411160633794,0.03615535682448831,,0.03365334080604539,0.032029978791855394,,,,,,,,,,,,0.03485957153196958,0.030413324826330277,,0.034859571531969585,,0.03395761518727383,0.03395761518727383,0.03395761518727383,,0.031810216123622365,0.031810216123622365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837,0.06010258821936986,,0.057132569555643574,0.05357226974869031,,0.0538335365443223,,,,0.04983389880240033,0.046806009336262576,,,,0.04553746663844353,0.048270920544760454,0.04590338501175937,0.042276341299732664,0.04535305037718988,0.044926131273428795,0.04147563074728352,0.04147563074728352,0.03726565389998989,,0.03772954379442362,0.03640734029723491,,,,,,,,,,0.037162263386974745,,,,,,,,,,,,,,,0.02550601522983744,0.025503445467198013,0.025398908512621082,0.02467275016864442,0.02467018434357893,0.024657182238094533,0.024527283814831644,,,,,,,,,,,,,,,,,,,,,,,,,,
838,0.06190743834788154,,0.05897231667441352,0.05487404195128422,,0.05514966906836392,,,,0.050805469433658004,,,,,0.04589879443092744,0.052210774330393936,0.04949232284339056,0.04236231386271298,0.04615163100363208,0.044883281232601414,0.04144485076720506,0.04144485076720506,0.03713251747429778,,0.03747913815413701,0.039691311795668774,,,,,,,,,,0.04051389470361546,,,,,,,,,,,,,,,0.026164061310642625,0.024602898816435945,0.024801117973638213,0.024850997833990286,0.024947859481682842,0.024882028792455373,0.024799105655344118,0.024537313294421863,,,,,,,,,,,,,,,,,,,,,,,,,
839,0.06590819737185696,,0.06146585886179441,0.05775157342558339,,0.056687692535070874,,,,0.05139369917569077,,,,,0.054315141503051466,0.05498409603509445,0.05498409603509445,0.05015366907844091,,0.04376347914433926,0.04964071641700228,0.04964071641700228,0.04437082181090868,,0.03460433929418522,0.037890444625058785,,,,,,,,,,,,,,,,,,,,,,,,,0.024512954219154528,0.02319785214823685,0.02338185609316901,0.023282752817779192,0.023373501922334828,0.02331182553914305,0.023234135342671523,0.02298886362884928,0.022621247736072617,0.022540468822414932,,,,,,,,,,,,,,,,,,,,,,,
840,0.05355407273944202,,0.050057436389065506,0.047170663322659546,,0.04642206047030584,,,,0.042665800948326144,,,,,0.04204809410834649,0.04487667491803803,0.04256382338738698,0.03874186933054426,0.034842385273182966,0.03696050456942506,0.03814435104996192,0.03814435104996192,0.034204778223768086,,,,,,,,,,,,,,,0.03953049395207915,0.03645453208154809,0.03645453208154809,0.03953049395207915,0.03643047055667162,0.03857503740631198,0.038575037406311984,0.038575037406311984,,0.03623234274621641,0.03623234274621641,0.0330128138842903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,0.05782892364653843,,0.05392926590510612,0.05067369679480235,,0.04973828909610458,,,,0.045090317902166284,,,,,0.04767258829506024,0.048260016941495246,0.04826001694149525,0.04402085232716757,0.030698689687038008,0.03839197404795438,0.043571967689687935,0.043571967689687935,0.038945701952723774,,,0.0330405243702462,,,,,,,,,,,,0.03461895757943995,0.030571370165328,0.030571370165328,0.03461895757943995,0.030552136880073324,0.033838230489263176,0.033838230489263176,0.033838230489263176,,0.03192886143766351,0.03192886143766351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842,0.0610598401013968,,0.0567162420015587,0.05291562834744381,,0.051730435283304246,,,,,,,,,0.04970856937060778,0.0503820448509286,0.0503820448509286,0.04539103285300021,0.029477872909431206,0.03826089997666613,0.04878938059727076,0.04878938059727076,0.04390756076762568,,0.029559290268240248,0.03273433286987088,,,,,,,,,,,,0.03272747641723199,0.02916233049631542,0.02916233049631542,0.03272747641723199,0.029141294363702414,0.03206847239908119,0.03206847239908119,0.03206847239908119,,0.030534559483207394,0.030534559483207394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
843,0.06281691901237045,,0.05745135873976536,0.05444053624976078,,0.05232935536534659,,,,,,,,,0.05120971035585212,0.0519093273013141,0.0519093273013141,0.04676432792441365,0.02846907146298855,0.03927762029588984,0.05027707179559367,0.05027707179559367,0.04522642522714388,,0.03026995684334983,0.032588981744256375,,,,,,,,,,,,0.0314758771441696,0.028260350492122926,0.028260350492122926,0.030301286717103776,0.02824178826625498,0.029618459886471018,0.029618459886471018,0.029618459886471018,,0.02969395290692985,0.029693952906929843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
