threshold,MLS1,ACS1,DAL7,ACS2,LSC1,LSC2,CIT1,CIT3,HFA1,ACC1,CIT2,ACH1,ICL1,LYS21,LYS20,PCK1,ACO2,RIP1,CYT1,QCR2,QCR9,QCR7,QCR8,COB,COR1,ADY2,PYC1,PYC2,MAE1,IDH1,IDH2,KGD1,GDH2,IDP1,GDH3,GDH1,AAT1,AAT2,MDH1,MDH3,MDH2,IDP3,SDH2,SDH1,SDH3,SDH4,YJL045W,SDH5,SHH4,SHH3,FUM1,KGD2,LEU9,UGA2,QCR6,PGI1,PGM2,SOL4,TKL1,NQM1,TPI1,TKL2,FBA1,GPM1,TFS1,GAD1,JEN1,DCS2,ENO2,ZWF1,PGK1,TAL1,ENO1,CDC19,HSP104,SIS1,HSP78,BTN2,CUR1,HSP26,YJL144W,HSP82,HSC82,AHA1,STI1,SBA1,CPR6,FES1,LEU4,ACO1,TOM40,YMR31,TOM22,MSC1,TSL1,RTC3,GLC3,MBF1
837,0.05713256955564356,0.060102588219369875,0.05383353654432231,0.05357226974869033,0.04680600933626259,0.04227634129973268,0.04983389880240034,0.04535305037718988,0.045903385011759376,0.04827092054476046,0.044926131273428795,0.04553746663844354,0.037729543794423615,0.04147563074728353,0.04147563074728353,0.036407340297234914,,,,,,,,,,,0.037162263386974745,,,,,,,,,,,,,,,,,,,,,,,,,,0.03726565389998989,,,0.025506015229837448,0.025503445467198016,0.025398908512621075,0.02467275016864442,0.024670184343578944,0.024657182238094533,0.024527283814831647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
838,0.05897231667441353,0.061907438347881545,0.05514966906836392,0.05487404195128423,,0.042362313862712976,0.050805469433658004,0.04615163100363207,0.04949232284339057,0.05221077433039394,0.044883281232601414,0.04589879443092744,0.037479138154137004,0.04144485076720506,0.041444850767205055,0.03969131179566878,,,,,,,,,,,0.040513894703615466,,,,,,,,,,,,,,,,,,,,,,,,,,0.037132517474297785,,,0.026164061310642615,0.02460289881643597,0.024801117973638223,0.024850997833990283,0.024947859481682842,0.02488202879245537,0.024799105655344118,0.024537313294421867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
839,0.06146585886179441,0.06590819737185696,0.056687692535070874,0.057751573425583375,,0.050153669078440904,0.051393699175690755,,0.05498409603509444,0.05498409603509444,0.04376347914433924,0.05431514150305145,0.034604339294185216,0.049640716417002274,0.049640716417002274,0.03789044462505877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.044370821810908664,,,0.024512954219154514,0.023197852148236844,0.023381856093169007,0.023282752817779185,0.02337350192233482,0.023311825539143037,0.02323413534267152,0.02298886362884927,0.022621247736072613,0.02254046882241493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,0.05005743638906551,0.053554072739442016,0.04642206047030583,0.04717066332265954,,0.03874186933054424,0.04266580094832614,0.03484238527318297,0.04256382338738697,0.04487667491803803,0.03696050456942506,0.042048094108346486,,0.038144351049961916,0.038144351049961916,,,,,,,,,,,,,,,0.03645453208154809,0.03645453208154809,0.036430470556671625,0.038575037406311984,,0.03857503740631198,0.03857503740631198,0.03953049395207916,0.03953049395207916,0.03623234274621643,0.03623234274621642,0.0330128138842903,,,,,,,,,,,,0.03420477822376808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,0.05392926590510612,0.057828923646538424,0.04973828909610458,0.05067369679480235,,0.04402085232716758,0.04509031790216629,0.030698689687038008,0.04826001694149525,0.048260016941495246,0.03839197404795438,0.04767258829506024,,0.043571967689687935,0.043571967689687935,0.03304052437024619,,,,,,,,,,,,,,0.030571370165328002,0.030571370165328002,0.03055213688007332,0.03383823048926316,,0.03383823048926316,0.03383823048926316,0.034618957579439946,0.03461895757943996,0.031928861437663505,0.031928861437663505,,,,,,,,,,,,,0.038945701952723774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842,0.056716242001558705,0.0610598401013968,0.05173043528330425,0.05291562834744382,,0.04539103285300022,,0.029477872909431192,0.0503820448509286,0.0503820448509286,0.03826089997666613,0.04970856937060779,0.02955929026824026,0.048789380597270775,0.048789380597270775,0.03273433286987088,,,,,,,,,,,,,,0.029162330496315406,0.029162330496315406,0.029141294363702393,0.032068472399081165,,0.032068472399081165,0.032068472399081165,0.03272747641723198,0.03272747641723198,0.03053455948320738,0.03053455948320738,,,,,,,,,,,,,0.04390756076762568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
843,0.05745135873976537,0.06281691901237046,0.052329355365346594,0.05444053624976079,,0.04676432792441365,,0.02846907146298856,0.05190932730131408,0.05190932730131408,0.03927762029588985,0.05120971035585213,0.030269956843349825,0.050277071795593674,0.050277071795593674,0.03258898174425637,,,,,,,,,,,,,,0.02826035049212293,0.02826035049212293,0.02824178826625499,0.02961845988647102,,0.02961845988647102,0.02961845988647102,0.031475877144169606,0.03030128671710378,0.029693952906929853,0.029693952906929853,,,,,,,,,,,,,0.045226425227143874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844,0.06109200235750964,0.06536996335346455,0.056632747035638684,0.057559564592655946,,0.0457499601974796,0.05181582455781223,,0.05189166656639514,0.05476125862866051,0.04494775793209388,0.05125957854278565,0.036019567885259056,0.04625629375328464,0.04625629375328464,0.03952500228694309,,,,,,,,,,,0.04053198680854849,,,,,,,,,,,,,,,,,,,,,,,,,,0.04180199079703793,,,0.024153394002954402,0.023352105926981614,0.02339516026334862,0.02297425576099484,0.023299106313530563,0.022860809069561415,0.023153512011671394,,,0.02268714597418352,0.02265305162792009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,0.0683565093925562,0.07019980017420294,,0.060625715020227885,,0.047548785881547824,0.054274456754882905,,0.05438340646674073,0.057548670361473146,0.046558206984150315,0.05363925767870678,0.036799598439536264,0.04816708053778021,0.04816708053778021,0.04035093349976789,,,,,,,,,,,0.0415078922922354,,,,,,,,,,,,,,,,,,,,,,,,,,0.04306832541930833,,,0.0236794362356399,0.023401426273581112,0.023359919090859927,0.02252981138945348,0.02317280039123899,0.022396840290725823,0.023017208439031156,,0.021967499407081228,0.02261894244174861,0.022660396599742717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,0.06897874372164053,0.0717703451254508,,0.06159666034166759,,0.05132053005809073,0.05403407951247237,,0.05860213103404451,0.05860213103404451,0.04540588062109513,0.05779629629760596,0.03521470058688525,0.05236436640838806,0.05236436640838806,0.037870138489441686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04668101834339121,,,0.023313814348451294,0.023020407187991407,0.022919073924721048,0.02218194026295185,0.022815001205220446,0.02205102230195832,0.022661811667606925,,,0.022252119031944868,0.022293195299443583,0.02219095684999804,0.021699269937105668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
847,0.06949367562672734,0.07153716471825446,,0.06138806336990381,,0.05109762911695001,0.053881029570294836,,0.05834333434853967,0.05834333434853967,0.045304492863368434,0.05754469130839444,0.0351875973353624,0.052127917675454084,0.052127917675454084,0.03856843825176941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04647952570849318,,,0.023354161195272106,0.023210236564466937,0.023115058251728167,0.022220328290436395,0.022854484806877635,0.02208918376304582,0.022701030159715058,,,0.022438354689256215,0.02248162210283446,0.02223356223922306,0.021877166019638482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
848,0.0672041023201652,0.06901910741622419,,0.059587690981532895,,0.04673494202997984,0.05334584081500849,,0.05345225564208314,0.05656324451190307,0.045762120191460504,0.0527212063241698,0.0361746929161514,0.04734255164610409,0.04734255164610409,0.03966355667727257,,,,,,,,,,,0.040798607164000855,,,,,,,,,,,,,,,,,,,,,,,,,,0.04233142851836517,,,0.025133823048410695,0.024622847521035697,0.02452173122904131,0.02391358844617734,0.02459606971946997,0.02377245028593079,0.024430921336897306,,0.023316739360654204,0.023803676086924987,0.02384425416493235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,0.06912855833276624,0.07116481235432615,,0.06104617517739628,,0.050813255826794995,0.05358192998873922,,0.058018247014682306,0.05801824701468231,0.0450537368705818,0.05722452414505438,0.03499840418052166,0.05183762839109268,0.05183762839109268,0.0383583479333274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04622114788250206,,,0.024018928841645543,0.023433193879778883,0.023298324180822692,0.022853118348016736,0.023508071186390776,0.02272276511440998,0.02334995553425506,,0.022154437951435804,0.02264620061425157,0.022493541531099996,,,0.022218819314332738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,0.06589037454923467,0.06811672750397593,,0.05836653944168647,,0.04859139016563678,0.04686879422456084,,0.05552294989301851,0.05180272357623829,0.04277617989239231,0.05477179321223225,0.03331258096853988,0.05131188929176914,0.05131188929176914,0.03582439012569803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0445504086911615,,,0.028230966301720492,,,0.026855473165032576,0.02820604302122916,0.026663056750727387,0.028010700483949998,0.025744950852872733,0.02617346497327258,,,,,0.025156372213248814,0.025971498929269258,0.025132012401510046,0.024836830079253334,,,,,,,,,,,,,,,,,,,,,,,,,,
851,0.06534002880958183,0.06752965003547992,,0.05792828991009876,,0.048269725690438185,0.046448562617695956,,0.05512778667699955,0.051452637618840086,0.04239736860074936,0.05438431058741692,0.033000681971091426,0.05215355812909867,0.05215355812909867,0.03539410899219807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04427880191479592,,,0.028541260918263953,,,0.027150140024552294,0.02848753674677556,0.026957503843112535,0.028303394570804614,0.02602916012069477,0.02646244520509602,,,,,0.02543419547641668,0.02625618413107332,0.025410103170631314,0.025109006108995708,,,,,,,,,,,,,,,,,,,,,,,,,,
852,0.0673955837844424,0.06992032799991002,,0.05937638863044081,,0.049066616622111495,,,0.05657102387664095,0.05657102387664095,0.04127038576631463,0.05571889808943155,0.03101243279956623,0.057540556137184506,0.057540556137184506,0.03377034897526448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049066616622111495,,,0.028190052590068012,,,0.026816072807641485,0.028138424114120354,0.026625755038696117,0.027956537142561504,0.025708844604609895,0.02613679644990364,,,,,0.02512119472017158,0.02593312538748552,0.025097301886363273,0.024800071696359186,0.024655064244775513,,,,,,,,,,,,,,,,,,,,,,,,,
