threshold,PDX1,IRC15,PDA1,HSP82,HSC82,PGI1,AHA1,TAL1,TKL1,TPI1,ZWF1,PGK1,STI1,NQM1,TKL2,SSE1,FBA1,GPM1,ENO2,SBA1,HSP104,CDC19,ENO1,PYK2,FES1,PFK1,MAE1,PKP1,ERR3,TDH1,ERR1,TDH3,TDH2,MLS1,PTC5,AIM22,GPM2,KGD2,PKP2,PYC2,ILV2,CPR6,PYC1,LPD1,PTC6,LSC1,YMR31,KGD1,HSP78,SIS1,BTN2,CUR1,HSP26,YJL144W,MDH1,MBF1,CIT3,IDH1,IDH2,ACO1,CIT1,FUM1,ICL2,NCE103,SIP5,CYT1,MDH3,IDP3,ATP2,ATP18,ATP6,ATP15,ATP16,MDH2,ATP4,CIT2,IDP1,TOM40,TOM22,TOM70,PTC7,ACS1,TIM8,TOM7,TIM54,TOM20,TIM22
810,0.1269242192535859,0.10600652195520652,0.16260295130457178,,,0.019592395955914783,,0.018712400353563325,0.0186080844049245,0.01837495291397587,0.018285597614393,0.018261533885583953,,0.017800509190225886,0.017800509190225886,,0.018014942855798164,0.017624630892387253,0.01787025085519258,,,0.017395172833820697,0.017366271251436433,0.01700310021176925,,0.016833071131650036,0.07480429878488785,0.05300361193847338,0.016656521334129818,0.01572415899730167,,0.015724158997301677,,,0.05300361193847338,0.10600652195520652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,0.1283670347688895,0.10721155481260597,0.1644513460581977,,,0.019114452947734464,,0.018256461603889558,0.01815399285083523,0.01792142477697444,0.017831093944705764,0.01781325093697659,,0.017363953700903403,0.017363953700903403,,0.01756919245446703,0.01718498236324673,0.017427212765061127,,,0.016961170948276625,0.01693265447138307,0.016577797101683965,,0.01647117319175836,0.07565463927571733,0.053606132356733116,0.016240211947729448,0.01535431292599408,,0.01535431292599408,,,0.053606132356733116,0.10721155481260597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812,0.11976220567067401,0.10002484127530753,0.1534276768556647,,,0.02198168915405121,,0.02103409727441827,0.020915616257944702,0.020600256567650542,0.020544502520827117,0.020480545958280402,,0.020005848281089988,0.02000584828108998,,0.02019930808222752,0.019899017753809783,0.020035123947274792,,,0.019487996504966732,0.019465481478143927,0.01854465630838996,,0.01893239251066017,0.07058328086483924,0.05001275179468714,0.01866708351667251,0.017676093035667608,,0.017676093035667608,,,0.05001275179468714,0.10002484127530753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,0.11990191389345232,0.10014152493798724,0.15360665742752772,,,0.021935332522620758,,0.020989738995671397,0.02087150784083374,0.020556813204659328,0.020501176736143066,0.020437355049982637,,0.01996365845078528,0.01996365845078528,,0.020156710269413597,0.019857053215717336,0.019992872378253937,,,0.019446898759249036,0.019424431213800046,0.018505547949088378,,0.01889246646423295,0.07066561956820785,0.05007109401233718,0.018627716973710344,0.017638816367608008,,0.017638816367608008,,,0.05007109401233718,0.10014152493798724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
814,0.12068785709801189,0.12068785709801189,0.1687104215227335,,,0.021872818426786504,,0.020929919772335794,0.020812025567655445,0.02049822778821316,0.020442749879569247,0.020379110080553712,,0.01990676348207178,0.01990676348207178,,0.020099265117114858,0.019800462064138803,0.019935894151980535,,,0.019391476517919386,0.019369073003334212,0.018452808488824364,,0.018838624314455987,0.08674563957380967,0.0660144015527069,0.018574629340647703,0.017588547029057048,,0.017588547029057048,0.01675171606623198,,0.0660144015527069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815,0.12257541051283288,0.12257541051283288,0.17134904598685424,,,0.021284058291904138,,0.020369060533558164,0.02025441818571391,0.019941881012263823,0.019895688724461458,0.019822734589756263,,0.01947093182606266,0.01947093182606266,,0.019553824922701274,0.01926302109098932,0.01939459999745395,,,0.01886509468094994,0.018843309109271626,0.017952884699372004,,0.018327816956079077,0.08810233801999554,0.06704686423846809,0.01807125932659613,0.017112086353719844,,0.017112086353719844,0.01629837800991229,,0.06704686423846808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,0.12231878511439791,0.12231878511439791,0.1709903075007757,,,0.02135267289222378,,0.020437527283790214,0.020322602622370203,0.020001066627132264,0.019963390759179436,0.019877935838087092,,0.019645080235071125,0.019645080235071125,,0.01961194601782065,0.019320156224041592,0.01945192839910288,,,0.01892100317090714,0.018899163955414605,0.018007177315303994,,0.018382764092339608,0.08791788587333056,0.06690649409263683,0.0181257477478677,0.017163890652152704,,0.0171638906521527,0.016348223491795474,,0.06690649409263683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,0.1612113321468188,0.1612113321468188,0.18727973420039815,,,0.020425146992284936,,0.019554613936272756,0.019444846137605463,0.019126270225010376,0.019102019598011086,0.018997184215974326,,0.01901196610862897,0.01901196610862897,,0.01875452214367161,0.018475256459997903,0.018600893372776588,,,0.01809346462814519,0.018072590662476462,0.01722164733590328,,0.017579947214264036,0.11270375310950206,,0.01733472878714316,0.016415222122041252,0.015504588706007795,0.016415222122041252,0.015636063380797545,,,,0.014815688138779235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,0.15968343881275276,0.15968343881275276,0.18550477549445651,,,0.02073180608578653,,0.019851868322721473,0.019740571552555312,0.01940691902077721,0.019393448858349496,0.019270748212209664,,0.019447046492540126,0.019447046492540126,,0.01902985045987945,0.01874632515110714,0.018873545174522586,,,0.01835887251567257,0.018337705845990846,0.017475707251871298,,0.01783865805943151,0.11163559424742275,,0.01759024104218765,0.016657459279395288,0.015734270281298497,0.016657459279395288,0.015867472017080834,,,,0.015035731237302478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,0.1613232685659735,0.16132326856597348,0.18740977110628723,,,0.020389545374321794,,0.019524134475128855,0.019414675099716585,0.01908653082671902,0.019073283042764115,0.018952608057595226,,0.019125995835357495,0.019125995835357495,,0.01871568727841254,0.01843684267972873,0.018561962431920986,,,0.018055786487233768,0.018034969257412443,0.017187201370009147,,0.017544160234508145,0.11278200849254723,,0.017299844325711366,0.016382461826661573,0.015474513725667407,0.016382461826661573,0.015605516438331905,,,,0.014787506839998287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
