threshold,PTC6,PKP1,UTH1,CDC42,HOG1,KSS1,STE11,BNI1,FUS3,BEM1,RHO1,CDC24,PBS2,CLA4,SHO1,BEM2,STE7,PTP2,RGA1,ACT1,RDI1,PTC1,STE5,RSR1,STE50,PTP3,SSK1,PDA1,PDB1,PDX1,IRC15,MAE1,PGI1,TAL1,TKL1,TPI1,ZWF1,PGK1,NQM1,TKL2,FBA1,GPM1,ENO2,CDC19,ENO1,PYK2,PFK1,ERR3,TDH1,TDH3,TDH2,ERR1,AIM22,SLT2,GIC2,SPA2,STE20,KGD2,LPD1,PYC1,PYC2,PKP2,LSC1,YMR31,KGD1,HSP104,SIS1,BTN2,HSP78,HSP26,CUR1,YJL144W,MDH1,HSP82,HSC82,AHA1,STI1,SBA1,CPR6,FES1,BOI2,BUD6,BEM3,STE12,GPA1,RHO3,SPT15,STE4,TAF6,TAF10,TAF12,TAF5,TAF9,SKO1,SLN1,PTC7,YPD1,IDH1,ACO1,IDH2,CIT2,FUM1,CIT1,MDH3,MDH2,IDP1,IDP3,TOM40,TOM22,TOM70,ACS1,TIM8,TOM7
800,0.2521576383983607,0.21550324179448022,0.11619725715721461,0.026513927209734223,0.02547930670133952,0.023079576360289317,0.02269210846155793,0.02191023845696938,0.0215008160730896,0.021440022683170388,0.020409886116302272,0.01989920198042483,0.019491684579988042,0.01928757916176225,0.01703517036436664,0.016654200227743266,0.01659873023574698,0.01650873606541732,0.016385798081985627,0.015680556482034348,0.015656680572356467,0.01516888886878722,0.01508898813656892,0.014891647557082553,0.014768118273227387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,0.24553190936358824,0.20984064876214256,0.11314404193281125,0.027369646527798767,0.026100363521719572,0.02335637352784878,0.021845367335484422,0.02457084371486748,0.02257775840072648,0.024558285870921605,0.021347304020309515,0.022981165902262228,0.020323007432183425,0.021969982043337135,0.01652929732141829,0.01612768589293806,0.016371542411454634,0.015306304332922984,0.01584883544733047,0.015632893203748742,0.016955819313511877,,,0.016131282598904065,0.015340224780071524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015112978848025198,0.015126437493672686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,0.24474182286733,0.209165411627455,0.11277996062095694,0.027043023216284857,0.026226853407126893,0.023488307605086235,0.02199473004839134,0.024495949662702382,0.022701033086859813,0.02461599462885496,0.022146520359692178,0.023068259802319253,0.02043286077714661,0.02197782007238883,0.0166259326282495,0.016284551608846762,0.016458501801282246,0.015384439455496002,0.015943477383851677,0.015798386935288875,0.01708139083164059,,,0.01616739534542425,0.01544897996033344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015104921522449676,,0.014823474744541727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820,0.3411511738372554,,0.24123037058843974,0.02378681894834096,0.020936580801586963,0.018812560679026254,0.017035777549772445,0.02135439382674922,0.018253028771658346,0.021343479869200706,0.018552832067105708,0.019972813020572945,0.01659702497054063,0.019093998332509438,,0.014016488813671346,,,0.013774141326406761,0.013348280629486408,0.014736215307773205,,,0.014019614692317125,,,,0.023205784584745738,0.02148993670556917,0.01997243760989825,0.017098750237503273,,,,,,,,,,,,,,,,,,,,,,0.017098750237503273,,,0.013146308982468491,,0.01997243760989826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,0.3490623984954032,,0.24682445263314584,0.02449294102919072,0.02103716029195109,0.01939290108430105,0.01764227419308034,0.021988308308419795,0.018414299934505086,0.021977070365287867,0.01910358096771878,0.020565714674263543,0.017086875657095792,0.019660811989416417,0.013588408207428111,0.014432574388998235,,,0.014183032711019557,0.013797295943833757,0.015173666277554962,,,0.014435793060713091,,,,0.021097243099346817,0.01985454114306499,0.014563786914357812,,,,,,,,,,,,,,,,,,,,,,,,,0.013524518825046676,0.013536562890498597,,0.014563786914357812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,0.33857613971148137,,0.23940954602714226,0.026063755060246753,0.020763865787230194,0.018622476670824464,0.01741079758337713,0.0238443920932796,0.018242487288335565,0.02390976901477063,0.01825367439026792,0.022392464091057385,0.01685167085278393,0.021456188025493896,,,,,0.015329160272105216,,0.016098464784479412,,,0.015940598636783637,,,,0.02119418795220378,0.01976796986463903,0.016607119580192096,0.0142968262867511,,,,,,,,,,,,,,,,,,,,,,0.0142968262867511,,0.014948792187057932,0.014691234964584106,0.014424473007969311,0.016607119580192096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823,0.3406945055676159,,0.24090745727501914,0.02604227698344755,0.02083615971946818,0.01802380883454921,0.01730789070371376,0.023722553555670673,0.018111629988283716,0.024296764368997612,0.01856208542638023,0.02278605973373457,0.0169445791599251,0.02175026634222531,,0.014500156794776554,,,0.015606043212100766,0.013501617517524267,0.016397075415730773,,,0.016231892822131343,,,,0.02093756522500437,0.019704268858158375,0.014453558552959595,,,,,,,,,,,,,,,,,,,,,,,,,0.015175710902644335,0.014372896133157497,0.014679618353821594,0.014453558552959595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824,0.02496079267712849,0.024403413164777687,,,,,,,,,,,,,,,,,,,,,,,,,,0.10219939355881051,0.09196909683732447,0.07278446549535611,0.05470095579364111,0.04611207892509597,0.02345563499160714,0.02286092510308762,0.022709876698811512,0.022232043772915752,0.022655477799141056,0.022058492114605296,0.022873879662978037,0.02278869161404927,0.021431625188374215,0.0217447205432707,0.02128003149529873,0.020092728239792513,0.02128003149529873,,,,,,,,0.06519851074154348,,,,,0.07278446549535611,0.06519851074154348,0.04611207892509597,0.04611207892509597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,0.025078273903921353,0.024518271012187242,,,,,,,,,,,,,,,,,,,,,,,,,,0.10268040833618881,0.0924019613886727,0.07312703507671768,0.05495841297765384,0.04632911143973455,0.023151972174818732,0.022568834341725307,0.022419892008936935,0.021942909368159624,0.022365729664276062,0.02175809333836548,0.022767414018837712,0.022682719149759816,0.021153120895889454,0.021461668760215283,0.02100293743625794,0.019832287240652793,0.021002937436257942,,,,,,,,0.06550537603729198,,,,,0.07312703507671768,0.06550537603729198,0.04632911143973455,0.04632911143973455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,0.02100754056102578,0.0204593096572393,,,,,,,,,,,,,,,,,,,,,,,,,,0.10326852197935871,0.09424970808570417,0.07458285602947096,0.056004043257561004,0.04713684451010459,0.022986620248446582,0.02244446007913727,0.02230198158225701,0.021833326309595287,0.021646282587491315,0.021610546094541935,0.022609108538474414,0.022528441626961323,0.021086495931437223,0.02077063596449554,0.02090599713632829,0.01981536551502687,0.02030722719103604,,,,,,,,0.06679407103231311,,,,,0.07458285602947096,0.06679407103231311,0.04713684451010459,0.04713684451010459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,0.021875802196832866,0.021304912388262227,,,,,,,,,,,,,,,,,,,,,,,,,,0.10753670823184783,0.09814513818039382,0.07766543641965018,0.058318743641899866,0.049085055134867474,0.020709695454792947,0.019783676230447855,0.01966949625276412,0.01928621837468087,0.019683357339298255,0.019106495783868346,0.01963246053510449,0.019749935734811916,0.018962596172103212,0.019210684436532136,0.018796451157270824,0.01773567142969797,0.018796451157270824,,,,,,,,0.06955473352910843,,,,,0.0776654364196502,0.06955473352910843,0.049085055134867474,0.049085055134867474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
