threshold,PDB1,PDX1,KGD2,LPD1,AIM22,IRC15,PYC1,PYC2,MAE1,PTC6,PKP1,PTC5,PGI1,NQM1,TAL1,TKL2,TKL1,ZWF1,TPI1,PGK1,GPM1,FBA1,ENO2,ENO1,CDC19,PKP2,PYK2,LSC1,YMR31,KGD1,HSP104,HSP78,BTN2,SIS1,YJL144W,HSP26,CUR1,MDH1,HSP82,HSC82,AHA1,STI1,SBA1,CPR6,FES1,MBF1
836,0.10512884864229356,0.09939116492912256,0.09939116492912253,0.08859540261710623,0.08859540261710626,0.07329096366654986,,,0.0389522545862336,0.026754987244219014,0.02595652748880659,0.02989760136631575,0.023514677647396655,0.022620910034125516,0.02174066758652126,0.022486698361196975,0.022371772383947695,0.021809095682349042,0.02193267792465485,0.021632232912567953,0.02122247039442833,0.02162245030686995,0.021436177222988816,0.020810624332941174,0.02026733500372541,0.020791735208676835,0.019786156910733613,,,,,,,,,,,,,,,,,,,
837,0.10533790614961827,0.09958968676360759,0.09958968676360759,0.08877054163661385,0.08877054163661388,0.07343136049671115,,,0.03901399541515691,0.025958637767110555,0.025958637767110555,0.02978337070547682,0.023197733444153035,0.02243754484044151,0.02184518167697146,0.022307576738994195,0.02243987845960534,0.02104679769387503,0.022425719419084146,0.022133912915876488,0.02135123683270997,0.021742643987454506,0.02156123761311253,0.020543682571405583,0.020425866355164517,0.02081203430526222,0.019524588044262277,,,,,,,,,,,,,,,,,,,
838,0.10531543426363006,0.09956844115347199,0.09956844115347199,0.08875160409016278,0.08875160409016278,0.07341569527968379,,,0.039005672503785685,0.025953099973835228,0.025953099973835228,0.029777016976460333,0.02359266589596811,0.022495991986209225,0.020805597637724098,0.02236185763742107,0.022408649869669627,0.02104678662844857,0.022436631115654578,0.02118471982202297,0.02177197963230619,0.022125794144371432,0.021360101306636674,0.02094052849178356,0.020766254415702082,0.020807594444255045,0.019834737513326796,,,,,,,,,,,,,,,,,,,
839,0.10276819084744075,0.08080108709865468,0.08080108709865465,0.07240398326811691,0.07240398326811691,0.06080244068743753,0.054950651970395156,0.05205444061795898,0.05205444061795898,0.022554519276821276,0.022554519276821276,0.025669424040048308,0.024998717068378508,0.02383668472717455,0.022045548013837395,0.02369455637892886,0.023744137285984356,0.022301111135263157,0.02377378612917499,0.022447264727896942,0.02306952343777037,0.023444424219259283,0.02263309841588383,0.02218852033664741,0.022003860055375062,,,,,,,,,,,,,,,,,,,,,
840,0.10530973705492737,0.09956305483765401,0.09956305483765401,0.08874680292863564,0.08874680292863564,0.07341172373894063,,,0.0390035624288627,0.02595169599892817,0.02595169599892817,0.02977540614058007,0.023459777193343696,0.022378683837096527,0.02062579447552809,0.022239958653265,0.022260260647947654,0.021488339694503186,0.02226620952017487,0.02104565329831383,0.022183671654651665,0.021973899518991535,0.02178593985175807,0.021349513728487913,0.020540517518938966,0.02080646882378946,0.019571774689463153,,,,,,,,,,,,,,,,,,,
841,0.09966800074923383,0.09364718703420474,0.09364718703420474,0.08544333738804816,0.07454721490565895,0.06136045272608324,,,0.045032429283095206,0.020693338138219112,0.020693338138219112,0.023460066948454403,0.023238481867921493,0.022167586430610675,0.020431232018138325,0.022030169836986437,0.022050280323604753,0.021285640875742584,0.022056173080311155,0.020847130326122322,0.021974413791824726,0.021766620429988535,0.021580433780264304,0.021148124450609693,0.020346759476344102,,0.019387154766891016,0.0814972461992184,,,,,,,,,,,,,,,,,,
842,0.10000209206699771,0.09396109633193267,0.09396109633193267,0.0857297470377605,0.07479710029591698,0.06156613553657147,,,0.04518337987434016,0.020762703075366044,0.020762703075366044,0.023538706076586997,0.02306748536079535,0.022060031485604967,0.02032796208627727,0.021922570010967233,0.021936104662364495,0.02117709622033133,0.021889057469910884,0.02068228296161315,0.021852784633479016,0.021135205759314404,0.021413790318855222,0.020983420594717826,0.020236217935229353,,0.01928080241196896,0.0817704283857993,,,,,,,,,,,,,,,,,,
843,0.10010213393243542,0.09405509479897793,0.09405509479897793,0.08581551088169502,0.07487192714491851,0.06162772615852308,,,0.04522858122479172,0.02078347403629551,0.02078347403629551,0.02356225414460455,0.022986169160357298,0.02216326860435223,0.02026110346403157,0.022025380181192388,0.021861758892244895,0.021106179188571567,0.021809837461362128,0.02059375404180716,0.021773651796446417,0.02105981419994364,0.021336097895309283,0.020908013446359598,0.020163913471785276,,0.01921355570236116,0.08185223133636033,,,,,,,,,,,,,,,,,,
844,0.09668619858340834,0.08571239069135589,0.08901910265259673,0.08169867212557705,0.06857536446151917,0.05638626855791392,,0.037354896507517256,0.0471714922103343,,,0.021595404845133188,0.024393369564161948,0.023530594116550698,0.021503738955975297,0.023383553265428392,0.023202516017872033,0.022399827221098477,0.023087942179113453,0.02179646859722924,0.022644925213859916,0.022289691347819992,0.022583501361336137,0.022180991784678264,0.021336805978466947,,0.020382713163798204,0.07561320070631408,0.02547036989094117,,,,,,,,,,,,,,,,,
845,0.09699020159215244,0.08598188959645912,0.08929899859884953,0.08195555100281565,0.06879098072761987,0.05656355958336127,,0.037472348647491646,0.047319809920297,,,0.021663305622536322,0.02419031846297318,0.02367275198466448,0.021286721885376232,0.023513803146663084,0.023015890538868312,0.02217277890285366,0.02288005059772341,0.021588486939109645,0.022441446713695756,0.02209029721302162,0.022379217185878292,0.021981504574309342,0.02114573270832425,,0.020202953928940233,0.07585094550187206,0.025550454424143616,,,,,,,,,,,,,,,,,
