threshold,PDA1,PDB1,PDX1,KGD2,AIM22,LPD1,IRC15,MAE1,PYC2,PYC1,PTC6,PTC5,PGI1,NQM1,TAL1,TKL2,TKL1,ZWF1,TPI1,PGK1,GPM1,FBA1,ENO1,ENO2,CDC19,PKP2,PYK2,PFK1,LSC1,YMR31,KGD1,HSP104,HSP78,BTN2,SIS1,HSP26,YJL144W,CUR1,MDH1,HSP82,HSC82,AHA1,STI1,SBA1,CPR6,FES1
834,0.10673453965629653,0.09322764155672354,0.08813949755547588,0.08813949755547588,0.07856587935120175,0.07856587935120175,0.06499399335477103,0.03454262911931764,,,0.02372616453877244,0.02651301616617689,0.022851269053740155,0.02234377076177373,0.022259264376165114,0.022214148107367864,0.022139712398841667,0.02157771012497845,0.02167726876366677,0.02138556357005812,0.020618287529121933,0.021003510404261995,0.020218278049640125,0.020820554445947128,0.019651555442113045,,0.019191668225763788,0.018898700541146674,,,,,,,,,,,,,,,,,,
835,0.10643154497733832,0.09296298983840937,0.08788928990150226,0.08788928990150223,0.07834284898570112,0.07834284898570111,0.06480949043552714,0.034444570582183524,,,0.023658811443603017,0.02643775184361221,0.022821414808412707,0.02225484244493391,0.022206302295613028,0.022127994129685653,0.022088930768422863,0.021530892746293787,0.022059028579470934,0.021764378129917755,0.021011956204972957,0.021393155560932773,0.020224185850787318,0.021213575162170446,0.020057975827701923,,0.01918594880698659,0.018849981788617073,,,,,,,,,,,,,,,,,,
836,0.10590592697239538,0.09250388702953068,0.08745524383721072,0.08745524383721072,0.07795594854190714,0.07795594854190714,0.06448942522298753,0.034274464186806304,,,0.02354197110953706,0.026307187560418017,0.023475752777084833,0.022583464656280364,0.02170467931234683,0.022449475149780865,0.022334739414508406,0.021772994136166565,0.0218963718074029,0.021596424135033217,0.021187339914640915,0.021586657722908596,0.020776175599881142,0.021400692984978074,0.020233785601160088,,0.019753404023227842,0.01940279592468876,,,,,,,,,,,,,,,,,,
837,0.10606457207732162,0.09276344255981167,0.08770140327759901,0.08770140327759901,0.07817376803004968,0.07817376803004968,0.06466566538592787,0.03435679191859254,,,0.022859886734601133,0.026228051217867202,0.023197733444153035,0.022437544840441512,0.02184518167697147,0.022307576738994195,0.022439878459605347,0.021046797693875036,0.022425719419084146,0.02213391291587649,0.021351236832709976,0.021742643987454513,0.020543682571405587,0.02156123761311253,0.020425866355164524,0.018327646897469848,0.01952458804426228,,,,,,,,,,,,,,,,,,,
838,0.10602649892396764,0.09273014400681653,0.08766992180446476,0.08766992180446476,0.07814570661613761,0.07814570661613761,0.06464245286786688,0.034344459135064086,,,0.02285168090341495,0.026218636343544544,0.023589229348884678,0.022492715182477516,0.020802567059653932,0.02235860037192243,0.022405385788336354,0.021043720918387545,0.022433362958526326,0.021181634020382808,0.021768808289422098,0.022122571264275102,0.020937478259460043,0.021356989958636805,0.020763229568431293,,0.019831848352362427,0.018466729636961304,,,,,,,,,,,,,,,,,,
839,0.10174104540579729,0.09084844983309746,0.07142923746355581,0.07142923746355581,0.06400608580737466,0.06400608580737466,0.053750167605097175,0.04601681899889519,0.04601681899889519,0.0485771084190762,,0.022692112830989958,0.024865532863474066,0.0237096914141072,0.021928097235228455,0.02356832027476162,0.02361763703251432,0.022182298807938063,0.023647127917294678,0.022327673746612306,0.022946617285099426,0.023319520729590443,0.022070307852744372,0.022512517379313108,0.021886631375267685,,0.020904857452344775,,,,,,,,,,,,,,,,,,,
840,0.10603620867062528,0.0927386360933701,0.08767795048351064,0.08767795048351062,0.07815286308193932,0.07815286308193935,0.06464837272608201,0.03434760434876708,,,0.022853773625843076,0.02622103740666734,0.023459777188026,0.022378683832023894,0.020625794470852783,0.02223995864822381,0.022260260642901857,0.021488339689632367,0.02226620951512772,0.021045653293543347,0.022183671649623232,0.02197389951401065,0.021349513723648555,0.021785939846819792,0.020540517514282982,0.018322745784001348,0.019571774685026758,,,,,,,,,,,,,,,,,,,
841,0.09810234049320868,0.08838908560650804,0.08304961642002863,0.08304961642002863,0.06611108992344962,0.075774154253375,0.05441660581218746,0.039936340822037814,,,0.018351579468172764,0.020805211805728804,0.023194338424255993,0.02212547724256813,0.02039242118080672,0.021988321683278817,0.02200839396834257,0.021245207017187503,0.022014275531263797,0.020807529455102905,0.021932671551397182,0.021725272910464628,0.02110795181602786,0.021539439937883778,0.020308109101684325,,0.01935032724179059,,0.07227462191321976,,,,,,,,,,,,,,,,,
842,0.09843055689007955,0.08868480482232521,0.08332747162435758,0.08332747162435758,0.06633227469456507,0.07602766828535369,0.05459866489660711,0.04006995396340547,,,0.018412977486402,0.020874818826526476,0.023023520141291744,0.022017986411711925,0.020289218230967267,0.021880786930256857,0.02189429578543445,0.021136733967176576,0.021847338262058806,0.020642863792335667,0.021811134559439782,0.021094923346822173,0.02094342747548728,0.021372976941191932,0.020197648938672964,,0.019244054379099783,,0.07251642772407299,,,,,,,,,,,,,,,,,
843,0.09852883873065776,0.0887733556354532,0.0834106731985508,0.0834106731985508,0.0663985067494543,0.07610358108530156,0.05465318106972135,0.04010996337665917,,,0.018431362644172767,0.020895662106101727,0.02294231518052577,0.022120984588795075,0.020222448479093557,0.02198335923496558,0.021820050109591555,0.021065911932640444,0.021768227736597333,0.02055446441211269,0.02173211110821435,0.02101963540108694,0.020868124259362082,0.021295391990803974,0.02012544391000021,,0.019176899273080354,,0.07258883458850672,,,,,,,,,,,,,,,,,
844,0.09492382875919123,0.08616369024364105,0.07638417881535446,0.07933101620608615,0.06111220162110173,0.07280727944094607,0.05024966385277431,0.04203774584885839,0.03328950541974576,,,,0.024308246208959054,0.023448481511490142,0.021428699285685995,0.023301953775645597,0.023121548277544274,0.022321660551913654,0.023007374256840678,0.02172040741455046,0.022565903248179763,0.022211909009919827,0.022103588765900014,0.022504693740968248,0.02126234883922577,,0.020311585436729715,,0.0673840992762655,0.022698390192482144,,,,,,,,,,,,,,,,
845,0.09522124570506314,0.08643365977534134,0.07662350701643057,0.07957957748791965,0.061303679404912624,0.07303540044040029,0.050407106949513454,0.04216945922520591,0.033393808661207336,,,,0.02410563918716182,0.023589884473118834,0.02121220677734198,0.0234314920425295,0.02293532239976059,0.022095162113182496,0.02279995797231594,0.021512915489206454,0.02236288944051295,0.022012969154140565,0.021904557348854433,0.022300877749899972,0.02107171113911746,,0.02013223259839754,,0.06759522827589654,0.022769509172568612,,,,,,,,,,,,,,,,
846,0.09387503508164119,0.08577016017123273,0.06998546264315321,0.07252369577217738,0.05617256639497757,0.06664815495498831,0.046543543282788945,0.046400075118480336,0.03846271968749378,0.04017576006799986,,,0.024809820434895515,0.024278999337619973,0.021831864199394868,0.024115979899277887,0.023605315998322347,0.02274061269447326,0.023465997264141558,0.022141357305412133,0.023016160953742003,0.02265601868976712,0.022544439925923174,0.02295233775880298,0.02168726435994763,,0.02072034148697472,,0.06287631651637146,,,,,,,,,,,,,,,,,
847,0.09399867042081812,0.08588312122456077,0.07007763492733735,0.07261921096125146,0.05624654681258957,0.06673593193676211,0.04660484208023024,0.04646118496541801,0.038513375875159586,0.040228672364846174,,,0.024740566423591195,0.024211227057727942,0.021770922840547595,0.024048662671047966,0.023539424234805574,0.022677134659525654,0.023400494394257326,0.022079552029023872,0.022951913754732434,0.022592776790110115,0.022481509486681324,0.02288826871554731,0.0216267266363843,,0.020662502827185392,,0.06295912590985864,,,,,,,,,,,,,,,,,
848,0.10148328888285002,0.08985813973914104,0.07908098901659773,0.08277655117105846,0.07078045280997604,0.07447601496443677,0.058454663129827826,0.03794760949296993,0.03794760949296993,,0.020709945866608966,0.023650794023979436,0.024558488190095096,0.02403304449804165,0.021610699703190215,0.023871676504194788,0.023366185808942303,0.02251024225500809,0.023228278422751564,0.021917057534718502,0.02278299911307607,0.02242650521745153,0.02231605678589928,0.022719822469646607,0.021467564711194872,,,,,0.02602532019537339,,,,,,,,,,,,,,,,
