threshold,CDC42,BEM1,BNI1,CDC24,CLA4,HOG1,FUS3,KSS1,RHO1,STE11,PBS2,RSR1,RGA1,GIC2,RDI1,SPA2,STE20,SHO1,ACT1,STE7,PTP2,BEM2,STE50,GIC1,SLT2,PTP3,GPA1,RHO3,STE12,BUD6,STE5,BOI2,BEM3
839,0.06395363543470822,0.05489332993191069,0.05547784116329691,0.04744530585137064,0.05049710122771283,0.05022313966023729,0.047069591779222146,0.04709985084635149,0.0443548265047785,0.04341449052809354,0.04032972785946798,0.03759811622698024,0.03616911539241114,0.03269418316508505,0.036930643426215284,0.030960397611896184,0.03437878128375496,0.03130163828384327,0.03105795253550735,0.035419816595865745,0.02935793785824151,,0.031773085034424574,,0.029220994329443046,,,0.029673896515372764,0.028704600953808567,,,,
840,0.06360513942802289,0.05550472503332574,0.05611728204169018,0.047963138278318496,0.05107742864292658,0.049980920074652053,0.046493698393352066,0.046535598368831275,0.044912383654009146,0.04287885113728995,0.04025866918320486,0.03686994566269766,0.03650589076850172,0.03299819636173885,0.03729072567650208,0.031360661330761264,0.03472207173364785,0.03122607840320624,0.030881607411574172,0.03484664966814813,0.029310779129306318,,0.03159891693607218,,0.02915080745784945,,0.027918502300655543,0.02999133292371532,,,,,
841,0.0630844131472183,0.05559710790878846,0.05692157085714061,0.04817347261631208,0.05147073712686821,0.04985298772876433,0.04637469202260952,0.04641648474991988,0.04392302550552065,0.04276909741513417,0.04015562214078883,0.037384063380673085,0.03692422349792412,0.033435557578542593,0.03774293621501343,0.03172200775355506,0.03480510529614785,0.031146151393918905,0.029297105606769732,0.034757455358965454,0.029235754565368557,,0.03151803560045241,,0.029076192361187896,,0.02784704144143847,0.030369158730977376,,,,,
842,0.0641440135708922,0.05637693546582721,0.05515015099797379,0.04863791089162092,0.052035032050274654,0.049903632219912286,0.04668362445857068,0.04672086605053365,0.044976024038448234,0.04298627676402309,0.040066186265194564,0.03066424853766889,0.03728562848196951,0.03359269545872882,0.035700234983996965,0.03254925414049015,0.035059018498181035,0.031139052087471333,0.03334194230181245,0.03513479453556239,,,0.03171519787179007,,0.029133319128990077,,0.028145531933220877,0.031010496872214025,,0.027847932394632142,,,
843,0.06402048076357648,0.05626836101408584,0.05504393916934954,0.048544240768098434,0.0519348195248949,0.050218662164881016,0.047238468986728684,0.047254686299781606,0.044889406220166135,0.04334156816921128,0.04005888305031861,0.030605193288469404,0.03721382133890983,0.03352800041168859,0.03563148109717432,0.032486568622135996,0.034991499508711714,0.031076357767061163,0.03268475041867786,0.03548434705189754,0.027961594532866625,,0.030524500324858088,,0.029430755734130246,,0.028616838977381803,0.03095077479494418,,,,,
844,0.06419745344816812,0.056423904408753646,0.0551960978780801,0.04867843227225033,0.05207838365195983,0.050669993928895145,0.04700658820579719,0.04748267330661478,0.04501349461553205,0.04235682355451539,0.040529238335431116,0.030689795639999802,0.037316692010727806,0.03362068231865142,0.03572997768436848,0.03257637168505676,0.03508822698610775,0.03136961522116443,0.030337152566159466,0.035476464839144004,0.028322404374901283,,0.030788684691559657,,0.029480756250307723,,0.02853375968372664,0.031036332442127106,,,,,
845,0.06207229799351608,0.05314200643225322,0.05218881723361307,0.045962670956895595,0.049000862206850196,0.05255253226521958,0.04918586944074952,0.04969140594572014,0.04746454858093367,0.044302917112080016,0.04301747998522026,,0.035207454417524146,0.031434187834807524,0.03441948151356258,0.030853025395784047,0.03312980542653891,0.03395767273962689,0.03010808549281835,0.03666493481907218,0.02966728149167555,,0.03331860036262594,,0.03193167749321711,,0.03070867073035359,0.03075903534642291,,,0.029258678782918907,,
846,0.061952629949833235,0.05303955493371529,0.052088203371031094,0.0458740603674113,0.04890639434423492,0.05262185173002361,0.0493644196561895,0.04997608528872654,0.047373042549151784,0.04453276681269585,0.042853872605308665,,0.035139578612545276,0.03137358644119803,0.03435312482707844,0.030793544414570863,0.03306593508290508,0.03390311913026012,0.030062413463081816,0.03694898975102341,0.029485774743594956,,0.033324104296652966,,0.031931653488250424,,0.030953429568395877,0.030699735566900296,,,0.029382129005220588,,
847,0.06170790842030303,0.05270497839444553,0.05289956299285906,0.04587531459291955,0.04854823709631456,0.05305524488702474,0.05019886723669353,0.05087441103801297,0.04832162604188143,0.045262255562961685,0.04163086084514863,,0.03499199127743634,0.03131754171716581,0.0345480126800742,0.0286999117032905,0.03307627362840338,0.033013649630556134,0.030309929019850128,0.03830530099357255,,,0.0327130825099771,,0.031039154307729834,,0.030809385451475033,0.03090681756120953,0.02998861509987078,,0.029201067310823895,,
848,0.06172657401480557,0.05404574093730784,0.054094334230425874,0.04712302381475454,0.05007617520431939,0.05166568786400432,0.04962473743354316,0.050262493106762215,0.047532272408528364,0.04470791433218866,0.040760626796326846,0.02957218371267208,0.03592326005538971,0.032464374089674355,0.03323776792651438,0.02952035060832732,0.03416173860564276,0.03256061922542259,0.030490005471771515,0.03787510124919008,,,0.032293871230749144,,0.030571439338699977,,0.030457865992107234,0.02959834625665385,0.02965349609421824,,,,
