threshold,PTC6,PTC5,UTH1,CDC42,HOG1,KSS1,STE11,BNI1,FUS3,BEM1,RHO1,CDC24,PBS2,CLA4,SHO1,BEM2,STE7,PTP2,RGA1,ACT1,RDI1,PTC1,STE5,RSR1,STE50,PTP3,SSK1,PDA1,PDB1,IRC15,PDX1,MAE1,PGI1,TAL1,TKL1,TPI1,NQM1,TKL2,ZWF1,PGK1,FBA1,GPM1,ENO2,CDC19,ENO1,PYK2,PFK1,ERR3,TDH1,ERR1,TDH3,TDH2,MLS1,AIM22,SLT2,GIC2,SPA2,STE20,KGD2,PKP2,ILV2,PYC2,HSP82,HSC82,AHA1,STI1,SBA1,HSP104,CPR6,FES1,PYC1,LPD1,LSC1,YMR31,KGD1,SIS1,BTN2,HSP78,HSP26,CUR1,YJL144W,MDH1,CIT3,IDH1,IDH2,ACO1,FUM1,CIT1,ICL2,CYT1,QCR2,RIP1,MBF1,MDH3,IDP3,ATP18,ATP15,ATP6,ATP2,ATP16,MDH2,CIT2,IDP1,TOM40,TOM22,TOM70,PTC7,ACS1,TIM8,TOM7,TIM54,TOM20,TIM22
815,,0.060012262115661054,,,,,,,,,,,,,,,,,,,,,,,,,,0.1533709887528441,0.1270246693434396,0.10971471594059079,0.10971471594059079,0.07885858141632526,0.021284058291904138,0.020369060533558168,0.02025441818571391,0.019941881012263827,0.01947093182606266,0.01947093182606266,0.01989568872446146,0.019822734589756263,0.019553824922701274,0.019263021090989315,0.019394599997453955,0.018865094680949945,0.01884330910927163,0.01795288469937201,0.01832781695607908,0.01807125932659613,0.017112086353719847,,0.017112086353719844,0.016298378009912292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,,0.05988661970000866,,,,,,,,,,,,,,,,,,,,,,,,,,0.15304988935017932,0.12675872892158055,0.10948501585168524,0.10948501585168524,0.07869348211303669,0.021352672892223784,0.020437527283790214,0.02032260262237021,0.02000106662713227,0.019645080235071125,0.019645080235071125,0.019963390759179436,0.019877935838087096,0.019611946017820646,0.0193201562240416,0.01945192839910288,0.018921003170907155,0.01889916395541461,0.018007177315304,0.018382764092339618,0.018125747747867706,0.017163890652152708,,0.017163890652152708,0.01634822349179548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,0.24566521377534822,0.20995457564162262,0.11320547020090517,0.027341936207050378,0.02601365114128739,0.023263750858346918,0.02274743885096636,0.02412597855024291,0.02249386056433539,0.024258687746457952,0.020993765216294775,0.023217307235925345,0.020319031742988557,0.021668573204234286,0.016554345866256814,0.015829479131001512,0.016249461807606693,0.016694775129430024,0.0156705880878695,0.015671432144724676,0.01667715172779653,,,0.01637245029949573,0.015269053340340693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014915622230225046,0.01482639929924651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,0.2455319093635882,0.20984064876214262,0.11314404193281122,0.027369646527798767,0.02610036352171958,0.02335637352784878,0.02184536733548443,0.024570843714867487,0.02257775840072649,0.0245582858709216,0.021347304020309515,0.02298116590226223,0.020323007432183432,0.02196998204333714,0.016529297321418293,0.01612768589293806,0.016371542411454637,0.015306304332922993,0.01584883544733047,0.015632893203748745,0.016955819313511877,,,0.016131282598904062,0.01534022478007153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015112978848025198,0.015126437493672684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,0.24474182286733,0.20916541162745506,0.11277996062095694,0.027043023216284847,0.026226853407126893,0.023488307605086217,0.021994730048391337,0.02449594966270239,0.022701033086859803,0.02461599462885496,0.02214652035969217,0.023068259802319253,0.02043286077714661,0.021977820072388826,0.0166259326282495,0.016284551608846762,0.016458501801282242,0.015384439455495998,0.015943477383851677,0.015798386935288875,0.017081390831640595,,,0.01616739534542425,0.015448979960333436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015104921522449681,,0.014823474744541727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11564298415886855,0.10709228127761027,0.08520937939550846,0.09953002354653034,0.04499613688809305,0.021842450234789083,0.020915372452953322,0.020798113293110328,0.020446586330581436,0.02048886351093912,0.02048886351093912,0.0204323945447204,0.020303120580551736,0.020049317455769832,0.01975060313143471,0.019884638584922083,0.01934239388652867,0.019320093276188867,0.018411915700313187,0.018794310505618916,0.018532585293923834,0.017549832554032103,,,,,0.08520937939550846,,,,,0.09953002354653034,0.025438336944033774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10469656398535486,0.09852956746036276,0.06269718541219987,0.07227382465888849,0.057297463038126814,0.022032181630240278,0.02144172574659845,0.021308246965594066,0.020948360014002035,0.02125126831238149,0.02117761295305143,0.020687910155336924,0.020752506540603878,,,,,,,,,,,,,,0.06269718541219987,,,,,0.07227382465888849,,0.057297463038126814,0.057297463038126814,0.026677190049882678,0.02592408476930299,0.02338060075457835,0.022513404034367718,0.022365871308616312,0.02223501094757173,0.021308685353377026,0.0209347997622199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11254878674797787,0.1049750539984416,0.07592130713142611,0.08818979827603433,0.05193604627559064,0.022168713330934477,0.02162116778540245,0.021486085957255808,0.021072891780267264,0.02159498080077475,0.021519561054935278,0.020860021809674743,0.020864148677752523,0.020316747025546887,0.020049566459521363,0.02014640009113645,0.019140705068035675,0.01957450917003829,0.018701747974674172,0.019045943878820863,0.01878462297300901,,,,,,0.07592130713142611,,,,,0.08818979827603433,0.023434042049698366,,0.05193604627559065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10837173486420736,0.10198825782470851,0.06489804913916195,0.07481085782959304,0.0593087799292839,0.022427359000345357,0.02185301889666338,0.02171593040700995,0.021314512012410296,0.02183122805793449,0.021754337874114144,0.02108008790796731,0.02110511467449149,0.020559215854431136,0.020287151255507667,0.020385831879073387,0.019362158054185792,0.01980475171275667,0.018916468594559643,,0.019002886184079557,,,,,,0.06489804913916195,,,,,0.07481085782959304,0.02089580122019226,,0.05930877992928388,,,,,,,,,0.05930877992928388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824,0.02496079267712849,0.024403413164777687,,,,,,,,,,,,,,,,,,,,,,,,,,0.10219939355881048,0.0919690968373245,0.05470095579364111,0.07278446549535611,0.046112078925095966,0.02345563499160714,0.022860925103087626,0.022709876698811516,0.02223204377291576,0.022873879662978044,0.02278869161404927,0.022655477799141056,0.0220584921146053,0.02143162518837422,0.021744720543270712,0.021280031495298734,0.02009272823979252,0.021280031495298734,,,,,,,,,0.06519851074154348,,,,,0.07278446549535611,,,0.046112078925095966,,,,,,,,,0.046112078925095966,0.06519851074154348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
