,threshold,PDX1,PDB1,IRC15,HSP82,HSC82,PGI1,AHA1,TAL1,TKL1,SOL4,GAD1,PGM2,MAE1,PTC5,RPS8B,RPS8A,RPS20,YTM1,NOP7,RPF2,AIM22,MLS1,ACS1,ACS2,RPS3,RPS5,RPL5,PKP1,NOP14,KGD2,PWP2,LPD1,NQM1,TKL2,RPS13,TPI1,LSC1,ASC1,KGD1,HSP104,HSP78,BTN2,TFS1,CIT3,IDH2,CYT1,QCR2,RIP1,MRPS28,MRP17,MRPS9,IDH1,ATP2,ATP4,ATP18,ACO1,TOM40,TOM22,TOM70,RPN10,RPT5,RPT2,GPM1,RPT1
10,850,0.15881792774445178,0.20061638697185397,,,,0.050028959590305566,,,,,,,,,0.0066567873603107465,0.006656787360310747,,0.004458601557751233,0.004506634255215127,0.0043963046796148654,0.14254603417874262,,,,,,,,,0.1656603753584802,,0.14938848179277103,0.049984792281994816,0.0496386197918519,,,,0.00664330707634534,,,,,,,,,,,,,,,,,,,,,,,,,,
11,855,0.1444109513594582,0.19328755853535315,,,,0.04870187381825201,,,,,,,,,0.006615351606283687,0.006615351606283687,,0.004629351125581342,0.004711345831891162,0.004571282371666209,,,,,,,,,,0.16974137782246757,,0.15644602029973806,0.04877324855533349,0.04845523371846544,,,,0.006595033049487856,0.15644602029973806,,,,,,,,,,,,,,,,,,,,,,,,,
12,860,0.09641302911187218,0.13903237660308268,,,,0.031421920374295816,,,,0.02465354449961386,,0.025306069385078418,,,,,,,,,0.0830233172648972,,,,,,,,,0.11293133646576277,,0.10141701847122529,0.03166971842929714,0.03145591177985807,,,,,,0.10728810588491966,0.09530691489364986,0.09530691489364986,0.02477382194279724,,,,,,,,,,,,,,,,,,,,,
13,865,0.1230401158772158,0.179502916813923,,0.04498654280464662,0.043993694008507306,0.03630282019208037,0.0409617583538584,,,0.03137511021896721,0.030781524708917807,,,,,,,,,,0.10538949893397287,,,,,,,,,0.13815868564156294,,0.12304011587721583,0.03565625342317971,0.035525563176976006,,,,,,,,,0.03128539996897607,,,,,,,,,,,,,,,,,,,,,
14,870,0.1228835682408553,0.17927452985941883,0.10525540870788923,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13798290219463055,,0.1228835682408553,,,,,,,0.0828103619336024,,,,,0.08326743507521038,0.0828103619336024,0.019441569706827574,0.018948492041143936,0.018683628501661588,0.008596707853780692,0.008583351928538768,0.008578113781983084,,,,,,,,,,,,,
15,875,0.12475207938906441,0.18062510937484602,,0.044018167339628766,0.04295729520559547,0.035389778622939926,0.04047695583868923,,,0.030688322393989054,0.03067000481327549,,,,,,,,,,0.10679869071860054,,,,,,,,,0.1401217599768848,,0.12475207938906441,0.03450009089733759,0.03369749635239088,,,,,,,,,0.030552169687693413,,,,,,,,,,,,,,,,,,,,,
16,880,0.12398499331612385,0.1795144665182032,,0.0450094946391752,0.04390975374469861,0.03541195614812191,0.04134757144223387,,,0.030443869931729095,0.03073751556840535,,,,,,,,,,0.10614199795115557,,,,,,,,,0.1392601675199048,,0.12398499331612389,0.035262240659555986,0.03446925853256051,,,,,,,,,0.030521720712008107,,,,,,,,,,,,,,,,,,,,,
17,885,0.11759931499160492,0.17026881825769072,0.10067529881677181,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13208776213909101,,0.11759931499160489,,,,,,,0.08341225438293137,,,,,,0.08341225438293137,0.01721752077087568,0.01715520005220367,0.017070473944418463,,,,0.08341225438293137,0.020029844295648223,0.020029844295648223,0.020029844295648223,,,,,,,,,
18,890,0.13539806352600434,0.16114615480403868,0.11673836124478713,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13539806352600436,,0.11673836124478713,,,,,,,0.07073121264235914,,,,,,,,,,,,,0.07073121264235914,,,,0.06881888174226258,0.03098664324792973,0.029390947715295157,0.02748665881981814,0.012191897511365584,0.01216916077130709,0.01207438056168186,,
19,895,0.17889668682270432,0.2129167318786976,0.15424228019179484,,,0.033593300647208085,,,,,,,,,,,0.003938708070538784,0.003377087999346657,0.0034314956453662315,0.003335143505586478,,,,,0.003939980093141986,,,,,0.17889668682270432,,0.15424228019179484,,,,0.032498238173151686,,0.003946121350141079,,,,,,,,,,,,,,,,,,,,,,,,,0.03274525860782309,
20,900,0.1469311504909003,0.1895639564519601,0.11349839582607794,,,,,,,,,,0.11210906006185394,,,,,,,,,,,,,,,,,0.1469311504909003,,,,,,,,,0.06403602780690493,,,,,,0.06403602780690491,,,,,,,0.06403602780690491,,,,,0.02399056155418235,0.02273938669797996,0.020818127322694904,0.010482799098663207,0.010402554159163744,,,0.010424774424908414
