,threshold,YLR255C,YKL031W,BRP1,URA3,NAB2,ACT1,PGK1,RPA190,YCR013C,YBL071C,YPR136C,YLR163W-A,YKL165C-A,YMR173W-A,YHR056W-A,YPL025C,YAL016C-B,YIL054W,PUF3,YLR339C,Q0010,Q0032,Q0297,UTR5,NOP1,RPA135,Q0182,Q0142,RPS3,MRT4,Q0143,YHR214C-E,YAL059C-A,YDL247W-A,ARX1,ISW1,CDC6,POL1,YGL165C,YDL011C,YNL043C,RPS5,YGL052W,PRM8,MST27,YGL024W,YHL002C-A,THI12,YLR154W-B,YAL064W-B,YPL142C,YHR063W-A,YDL228C,TTI1,YMR242W-A,YER175W-A,CAB1,YML116W-A,NAB6,YBL094C,YKL118W,UCC1,AIM26,YOR345C,YGL182C,ARL3,YPR053C,YGR242W,YER066C-A,MOH1,YKR041W,YKR040C,RPL3,YDR274C,YGL039W,YHR130C,CET1,ESL2,YIL024C,RLP7,YLR123C,YBR131C-A,YLL066W-B,YRF1-8,YOR394C-A,YLR466C-A,YIR040C,YDR215C,YPR027C,YHR214C-D,YPL278C,YDR543C,YBL109W,YHR217C,ERC1,YHR032W-A,TPI1,MDH2,PGI1,ZWF1,MDH1,IMP3,ARF1,YPT31,HHT1,HHT2,MRPS16,MRPS5,CDC42,NSA2,CDC19,OXA1,COX18,RPL5,ASC1,RPS16B,RHO1,RPS16A,BNI1,RPS13,FUM1,CYT1,RPS2,PWP2,YTM1,PUF6,RIP1,COX6,MRPL4,NOP7,RPS20,QCR2,QCR7,ACO1,PGM2,GLK1,HXK1,SOL4,ATP1,NQM1,COX4,ALD3,CIT3,CIT1,CIT2,IDH1,KGD1,QCR9,ATP16,MRPS9,QCR6,MRPL9,RPS8B,LSC1,ATP4,RSM23,RSM10,RPS8A,PDB1,VMA8,VMA10,IRC15,PDX1,HSP82,HSC82,TAL1,SSE1,GAD1,MSC1,AHA1,TKL1,AIM22,MAE1,MLS1,ACS1,ACS2,KGD2,LPD1,RPF2,TKL2,HSP104,SIS1,BTN2,TFS1,IDH2,MRPS28,MRP17,TOM40,TOM22,TOM70,RPN10,RPT5,RPT2,RPT1
21,310,,,,,,,,,,,,,,,,,,,,,,,,,0.1990676920904804,,,,,0.20911504556515859,,0.0,,,,,,,,,,0.19768943312540052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19661709150947762,,,,,,,0.19751073770948294,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,320,,,,,,0.01689283520634311,,,,,,,,,,,,,,,,,,,,,,,,0.03603524192620596,,,,,,0.014268803940701527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0344654246811793,,,,,,,,,,,,,,,,,0.16571474308114148,0.1611563202441383,0.16061167381600927,0.1589273698344977,0.1572351523529964,0.033720913031907954,0.01711084023500647,0.016199974779427855,0.01386557334201523,0.013795133528429543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,330,,,,,,0.03704072025995785,,,,,,,,,,,,,0.06739676047808145,,,,,,,,,,,0.006574076407241077,,,,,0.006404366439886112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14298249259258908,0.1418147208703653,0.14113419185289608,0.139418471777322,0.13741983344816824,,0.031318679723406975,,,,0.056205445278410274,0.05363515365963265,0.03231773871731373,0.0063373484947291826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,340,,,,,,0.03516493216201461,,,,,,,,,,,,,0.06793600287134802,,,,,,,,,,,0.00740207434063235,,,,,0.0071701062864268856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14263460536214612,0.14067110631197563,0.14182902397589203,0.14023002862378,0.13973412438601895,,0.02982792741726836,,,,0.05604957674457199,0.053439143157366614,0.03073998905226617,0.007171359308292261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,350,,,,,,0.033673654544267566,,,,,,,,,,,,,0.06267776242044538,,,,,,,,,,,0.007134714540839097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006888170868104,,,,,,,,,,,,,,,,,0.1459099797187456,0.14568351945936392,0.1467942357789977,0.14546400264038384,,,0.02711258116537274,,,,0.050852613610278076,0.04901936025525043,0.027887547731735195,0.006855342452504708,0.1440465148137117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,360,,,,,,0.026090337952617882,0.13902762742344404,,,,,,,,,,,,0.0600251958694073,,,,,,,,,,,0.023749211469489547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022838138740254935,,,,,,,,,,,,,,,,,0.14192333372604746,,0.14307028196755325,0.14058481046832763,0.13943466634517965,,0.02244083641599404,,,,0.04618382585142185,,0.02343761678736361,0.022835966434997662,,0.048358150547901164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,370,,,,,,0.02400037231111978,0.1409282318795118,,,,,,,,,,,,0.058181078524651604,,,,,,,,,,,0.022251836421693767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02127771501815976,,,,,,,,,,,,,,,,,0.14416465880997426,,0.14725452401039926,0.14438509388163415,,,0.02065954529643843,,,,,,0.021814586892902634,0.02133201871979461,0.14148306761572718,0.0474230795701943,0.04484419104779847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,380,,,,,,0.024446907556493144,0.14557102518304718,,,,,,,,,,,,0.059898242033982994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013552051073889699,,,,,,,,,,,,,,,,,,,,,,,,0.14863375259566602,,0.15073585306412213,0.14689767082300625,,,0.021693312167112084,,,,0.047433963988837625,,0.022435614358807563,,0.14494961725618777,0.04664015673301147,,0.013585089829329171,0.013526743336507023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,390,,,,,,0.023367166031862834,0.14432903745914058,,,,,,,,,,,,0.058943112545565925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013459031624823049,,,,,,,,,,,,,,,,,,,,,,,,0.14850403840277887,,0.14951575108163467,0.15024870241531973,,,0.020696286471189207,,,,0.04735844944025131,0.047634619755525576,0.021781753639178808,,0.14728179964440488,,,,0.013445399377178233,0.013434852111146285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,400,,,,,,0.023339479419407633,,,,,,,,,,,,,0.06013201040041709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006779776637651421,,,,,,,,,,,,,,,,,,,,,,,,0.15097960651206313,0.14900666517360492,0.1533718772105037,0.15323255662324897,,,0.021080095292932647,,,,0.04898810170166522,0.04883741144889552,0.021920609612935776,,0.14876209302646365,,,,0.006782582285726503,0.0067871346544837565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
